dataset,fraction,FLR_mean,FLR_se,RMCSE_FLR,MMR_mean,MMR_se,RMCSE_MMR
DBLP-Scholar,0.5,0.0167851458437375,0.000980759725764,0.058430217699295066,0.0147443391514288,0.0011329833595511,0.07684192203631644
DBLP-Scholar,0.6,0.0187841135382391,0.0014711265265123,0.07831759127293954,0.0158553450201758,0.0012235183201149,0.07716756201507963
DBLP-Scholar,0.7,0.0144937867908653,0.0019712438048167,0.13600612685009794,0.0150563718425851,0.0016565751648228,0.1100248573920963
DBLP-Scholar,0.8,0.0155142753612091,0.0026601978070486,0.17146774471336174,0.0163412898131476,0.001660057301428,0.10158667525083478
DBLP-Scholar,0.9,0.0146199381902369,0.002755481935938,0.1884742534532802,0.0186531041424231,0.0021460903099054,0.11505271688396931
Abt-Buy,0.5,0.0392217586336161,0.0025103209704555,0.06400327414956758,0.1595194085027726,0.005243010819348,0.03286754175280729
Abt-Buy,0.6,0.033971520902024,0.0025833979661606,0.07604599080539497,0.1678983833718244,0.0086003384125065,0.05122347362607038
Abt-Buy,0.7,0.0288474768992105,0.0038228983875504,0.13252106591183457,0.164,0.004279517137441,0.02609461669171341
Abt-Buy,0.8,0.0334254975278998,0.0022193892648056,0.06639809214367286,0.1737327188940092,0.0070743956618552,0.04071999624993577
Abt-Buy,0.9,0.0287503279511916,0.0042442827773492,0.14762554307396308,0.1577981651376146,0.0125940429859168,0.07981108636424022
