dataset,k,captured_records,missing_records,n_true_records,blocking_mmr
DBLP,1,2371,37,2408,0.015365448504983389
DBLP,2,2391,17,2408,0.0070598006644518275
DBLP,3,2396,12,2408,0.0049833887043189366
DBLP,5,2401,7,2408,0.0029069767441860465
DBLP,10,2404,4,2408,0.0016611295681063123
DBLP,20,2405,3,2408,0.0012458471760797341
DBLP,30,2405,3,2408,0.0012458471760797341
DBLP,50,2406,2,2408,0.0008305647840531562
DBLP,75,2406,2,2408,0.0008305647840531562
DBLP,100,2407,1,2408,0.0004152823920265781
DBLP,150,2407,1,2408,0.0004152823920265781
DBLP,200,2407,1,2408,0.0004152823920265781
ECOM,1,789,292,1081,0.27012025901942643
ECOM,2,910,171,1081,0.15818686401480112
ECOM,3,950,131,1081,0.1211840888066605
ECOM,5,992,89,1081,0.08233117483811286
ECOM,10,1044,37,1081,0.034227567067530065
ECOM,20,1067,14,1081,0.012950971322849213
ECOM,30,1074,7,1081,0.0064754856614246065
ECOM,50,1078,3,1081,0.0027752081406105457
ECOM,75,1079,2,1081,0.0018501387604070306
ECOM,100,1079,2,1081,0.0018501387604070306
ECOM,150,1080,1,1081,0.0009250693802035153
ECOM,200,1080,1,1081,0.0009250693802035153
