dataset,seed,seed_role,column,side,scorer,lambda,psi,declared,correct,false_links,missing_matches,n_true_records,n_unmatched_records,abstained_unmatched,lr_threshold
DBLP,42,primary,forced-1:1,string,MEC,0.025500910746812388,0.10495867768595041,1098,1070,28,127,1210,98,83,
DBLP,42,primary,forced-1:1,string,LR,0.029177718832891247,0.07933884297520662,1131,1098,33,96,1210,98,81,0.5000000000000001
DBLP,42,primary,forced-1:1,bi-encoder,MEC,0.02483900643974241,0.10578512396694215,1087,1060,27,128,1210,98,93,
DBLP,42,primary,forced-1:1,bi-encoder,LR,0.05674978503869303,0.05867768595041322,1163,1097,66,71,1210,98,74,0.3500000000000001
DBLP,42,primary,k=5,string,MEC,0.031020408163265307,0.012396694214876033,1225,1187,38,15,1210,98,68,
DBLP,42,primary,k=5,string,LR,0.030629139072847682,0.024793388429752067,1208,1171,37,30,1210,98,70,0.40000000000000013
DBLP,42,primary,k=5,bi-encoder,MEC,0.02066115702479339,0.013223140495867768,1210,1185,25,16,1210,98,82,
DBLP,42,primary,k=5,bi-encoder,LR,0.00865051903114187,0.04628099173553719,1156,1146,10,56,1210,98,96,0.40000000000000013
DBLP,42,primary,k=50,string,MEC,0.04552715654952077,0.004132231404958678,1252,1195,57,5,1210,98,51,
DBLP,42,primary,k=50,string,LR,0.02226027397260274,0.05289256198347107,1168,1142,26,64,1210,98,76,0.45000000000000007
DBLP,42,primary,k=50,bi-encoder,MEC,0.04257028112449799,0.0049586776859504135,1245,1192,53,6,1210,98,57,
DBLP,42,primary,k=50,bi-encoder,LR,0.007048458149779736,0.0628099173553719,1135,1127,8,76,1210,98,97,0.5500000000000002
DBLP,43,primary,forced-1:1,string,MEC,0.03548680618744313,0.10033444816053512,1099,1060,39,120,1196,112,89,
DBLP,43,primary,forced-1:1,string,LR,0.03046594982078853,0.08444816053511706,1116,1082,34,101,1196,112,91,0.5000000000000001
DBLP,43,primary,forced-1:1,bi-encoder,MEC,0.025594149908592323,0.08862876254180602,1094,1066,28,106,1196,112,108,
DBLP,43,primary,forced-1:1,bi-encoder,LR,0.06785411365564037,0.043478260869565216,1179,1099,80,52,1196,112,77,0.30000000000000004
DBLP,43,primary,k=5,string,MEC,0.039247751430907606,0.00919732441471572,1223,1175,48,11,1196,112,74,
DBLP,43,primary,k=5,string,LR,0.03669724770642202,0.028428093645484948,1199,1155,44,34,1196,112,75,0.40000000000000013
DBLP,43,primary,k=5,bi-encoder,MEC,0.024896265560165973,0.00919732441471572,1205,1175,30,11,1196,112,92,
DBLP,43,primary,k=5,bi-encoder,LR,0.021607605877268798,0.04431438127090301,1157,1132,25,53,1196,112,98,0.40000000000000013
DBLP,43,primary,k=50,string,MEC,0.0521669341894061,0.004180602006688963,1246,1181,65,5,1196,112,57,
