dataset,seed,model,lambda,psi,declared,correct,false_links,missing_matches,n_true_records,threshold,alternative_valid_links,runtime_seconds
DBLP,42,CE_direct,0.014072847682119206,0.012396694214876033,1208,1191,17,15,1210,0.15000000000000002,377.0,390.1991853713989
DBLP,42,CE_legacy,0.014072847682119206,0.012396694214876033,1208,1191,17,15,1210,0.5500000000000002,377.0,390.1991853713989
DBLP,42,LR_rebuilt,0.007048458149779736,0.0628099173553719,1135,1127,8,76,1210,0.5500000000000002,,390.1991853713989
DBLP,43,CE_direct,0.023966942148760332,0.006688963210702341,1210,1181,29,8,1196,0.3500000000000001,360.0,436.7607147693634
DBLP,43,CE_legacy,0.023966942148760332,0.006688963210702341,1210,1181,29,8,1196,0.6000000000000002,360.0,436.7607147693634
DBLP,43,LR_rebuilt,0.0062724014336917565,0.0677257525083612,1116,1109,7,81,1196,0.5500000000000002,,436.7607147693634
DBLP,44,CE_direct,0.015625,0.009876543209876543,1216,1197,19,12,1215,0.20000000000000004,365.0,392.6494996547699
DBLP,44,CE_legacy,0.015625,0.009876543209876543,1216,1197,19,12,1215,0.5500000000000002,365.0,392.6494996547699
DBLP,44,LR_rebuilt,0.01471861471861472,0.05185185185185185,1155,1138,17,63,1215,0.40000000000000013,,392.6494996547699
DBLP,45,CE_direct,0.013968775677896467,0.00495458298926507,1217,1200,17,6,1211,0.1,393.0,442.08339500427246
DBLP,45,CE_legacy,0.013968775677896467,0.00495458298926507,1217,1200,17,6,1211,0.5500000000000002,393.0,442.08339500427246
DBLP,45,LR_rebuilt,0.007079646017699115,0.06688687035507845,1130,1122,8,81,1211,0.5000000000000001,,442.08339500427246
DBLP,46,CE_direct,0.018333333333333333,0.007556675062972292,1200,1178,22,9,1191,0.1,368.0,474.2636399269104
DBLP,46,CE_legacy,0.025556471558120363,0.0016792611251049538,1213,1182,31,2,1191,0.20000000000000004,368.0,474.2636399269104
DBLP,46,LR_rebuilt,0.016666666666666666,0.054575986565911,1140,1121,19,65,1191,0.30000000000000004,,474.2636399269104
DBLP,47,CE_direct,0.01644736842105263,0.011484823625922888,1216,1196,20,14,1219,0.1,387.0,442.94753551483154
DBLP,47,CE_legacy,0.022040816326530613,0.008203445447087777,1225,1198,27,10,1219,0.20000000000000004,387.0,442.94753551483154
DBLP,47,LR_rebuilt,0.015706806282722512,0.06398687448728466,1146,1128,18,78,1219,0.30000000000000004,,442.94753551483154
DBLP,48,CE_direct,0.017369727047146403,0.01076158940397351,1209,1188,21,13,1208,0.1,364.0,440.5534157752991
DBLP,48,CE_legacy,0.01658374792703151,0.013245033112582781,1206,1186,20,16,1208,0.9000000000000002,364.0,440.5534157752991
DBLP,48,LR_rebuilt,0.009945750452079566,0.08443708609271523,1106,1095,11,102,1208,0.6000000000000002,,440.5534157752991
DBLP,49,CE_direct,0.014742014742014743,0.004108463434675432,1221,1203,18,5,1217,0.1,377.0,463.55718302726746
DBLP,49,CE_legacy,0.01715686274509804,0.004108463434675432,1224,1203,21,5,1217,0.20000000000000004,377.0,463.55718302726746
