dataset,seed,scorer,lambda,psi,declared,correct,false_links,missing_matches,n_true_records,encoder
DBLP,42,LR,0.01929530201342282,0.0256198347107438,1192,1169,23,31,1210,fine-tuned
DBLP,43,LR,0.03297609233305853,0.014214046822742474,1213,1173,40,17,1196,fine-tuned
DBLP,44,LR,0.026359143327841845,0.01728395061728395,1214,1182,32,21,1215,fine-tuned
DBLP,42,MEC,0.04156674660271783,0.0024793388429752068,1251,1199,52,3,1210,fine-tuned
DBLP,43,MEC,0.05511182108626198,0.0008361204013377926,1252,1183,69,1,1196,fine-tuned
DBLP,44,MEC,0.04233226837060703,0.0016460905349794238,1252,1199,53,2,1215,fine-tuned
DBLP,42,LR,0.007048458149779736,0.0628099173553719,1135,1127,8,76,1210,pre-trained
DBLP,43,LR,0.0062724014336917565,0.0677257525083612,1116,1109,7,81,1196,pre-trained
DBLP,44,LR,0.01471861471861472,0.05185185185185185,1155,1138,17,63,1215,pre-trained
DBLP,42,MEC,0.04257028112449799,0.0049586776859504135,1245,1192,53,6,1210,pre-trained
DBLP,43,MEC,0.04754230459307011,0.0033444816053511705,1241,1182,59,4,1196,pre-trained
DBLP,44,MEC,0.038523274478330656,0.0024691358024691358,1246,1198,48,3,1215,pre-trained
ECOM,42,LR,0.048426150121065374,0.2365988909426987,413,393,20,128,541,fine-tuned
ECOM,43,LR,0.05314009661835749,0.23475046210720887,414,392,22,127,541,fine-tuned
ECOM,44,LR,0.056338028169014086,0.21256931608133087,426,402,24,115,541,fine-tuned
ECOM,42,MEC,0.1224105461393597,0.018484288354898338,531,466,65,10,541,fine-tuned
ECOM,43,MEC,0.12357414448669202,0.027726432532347505,526,461,65,15,541,fine-tuned
ECOM,44,MEC,0.1252371916508539,0.025878003696857672,527,461,66,14,541,fine-tuned
ECOM,42,LR,0.23218997361477572,0.29944547134935307,379,291,88,162,541,pre-trained
ECOM,43,LR,0.1965065502183406,0.5767097966728281,229,184,45,312,541,pre-trained
ECOM,44,LR,0.2692307692307692,0.32717190388170053,364,266,98,177,541,pre-trained
ECOM,42,MEC,0.3193116634799235,0.033271719038817,523,356,167,18,541,pre-trained
ECOM,43,MEC,0.32815533980582523,0.04805914972273567,515,346,169,26,541,pre-trained
ECOM,44,MEC,0.3339805825242718,0.04805914972273567,515,343,172,26,541,pre-trained
