dataset,seed,quartile,model,n_records,declared,correct,false_links,missing_matches,n_true_records,lambda,psi
DBLP,42,Q1,cross-encoder,328,243,229,14,9,241,0.05761316872427984,0.03734439834024896
DBLP,43,Q1,cross-encoder,327,245,224,21,5,232,0.08571428571428572,0.021551724137931036
DBLP,44,Q1,cross-encoder,327,245,233,12,6,242,0.04897959183673469,0.024793388429752067
DBLP,45,Q1,cross-encoder,327,240,228,12,6,235,0.05,0.02553191489361702
DBLP,46,Q1,cross-encoder,327,232,215,17,5,223,0.07327586206896551,0.02242152466367713
DBLP,47,Q1,cross-encoder,327,243,231,12,11,245,0.04938271604938271,0.044897959183673466
DBLP,48,Q1,cross-encoder,327,240,226,14,8,237,0.058333333333333334,0.03375527426160337
DBLP,49,Q1,cross-encoder,327,250,241,9,2,246,0.036,0.008130081300813009
DBLP,50,Q1,cross-encoder,327,237,222,15,6,236,0.06329113924050633,0.025423728813559324
DBLP,51,Q1,cross-encoder,327,217,211,6,12,224,0.027649769585253458,0.05357142857142857
DBLP,42,Q1,two-step LR,328,206,201,5,35,241,0.024271844660194174,0.14522821576763487
DBLP,43,Q1,two-step LR,327,201,198,3,31,232,0.014925373134328358,0.1336206896551724
DBLP,44,Q1,two-step LR,327,215,210,5,27,242,0.023255813953488372,0.1115702479338843
DBLP,45,Q1,two-step LR,327,194,191,3,41,235,0.015463917525773196,0.17446808510638298
DBLP,46,Q1,two-step LR,327,193,188,5,33,223,0.025906735751295335,0.14798206278026907
DBLP,47,Q1,two-step LR,327,200,195,5,46,245,0.025,0.18775510204081633
DBLP,48,Q1,two-step LR,327,193,188,5,44,237,0.025906735751295335,0.18565400843881857
DBLP,49,Q1,two-step LR,327,210,204,6,36,246,0.02857142857142857,0.14634146341463414
DBLP,50,Q1,two-step LR,327,186,183,3,50,236,0.016129032258064516,0.211864406779661
DBLP,51,Q1,two-step LR,327,178,174,4,46,224,0.02247191011235955,0.20535714285714285
DBLP,42,Q2,cross-encoder,326,315,313,2,2,316,0.006349206349206349,0.006329113924050633
DBLP,43,Q2,cross-encoder,327,312,304,8,2,310,0.02564102564102564,0.0064516129032258064
DBLP,44,Q2,cross-encoder,327,319,314,5,4,321,0.01567398119122257,0.012461059190031152
DBLP,45,Q2,cross-encoder,327,323,318,5,0,322,0.015479876160990712,0.0
DBLP,46,Q2,cross-encoder,327,318,315,3,2,318,0.009433962264150943,0.006289308176100629
DBLP,47,Q2,cross-encoder,327,320,314,6,2,322,0.01875,0.006211180124223602
DBLP,48,Q2,cross-encoder,327,318,312,6,2,318,0.018867924528301886,0.006289308176100629
DBLP,49,Q2,cross-encoder,327,317,310,7,3,319,0.022082018927444796,0.009404388714733543
DBLP,50,Q2,cross-encoder,327,319,316,3,2,318,0.009404388714733543,0.006289308176100629
DBLP,51,Q2,cross-encoder,327,321,312,9,2,320,0.028037383177570093,0.00625
DBLP,42,Q2,two-step LR,326,277,275,2,39,316,0.007220216606498195,0.12341772151898735
DBLP,43,Q2,two-step LR,327,270,266,4,41,310,0.014814814814814815,0.13225806451612904
