correct,dataset,declared,evaluation_seconds,false_links,fraction,lambda,missing_matches,model_loaded_from_checkpoint,model_path,n_fit_pairs,n_holdout,n_labelled_a,n_train_pairs_total,n_true_records,n_validation_pairs,prediction_path,psi,score_path,seed,threshold,train_seconds_this_run,unmatched_abstentions,validation_f1
1191,DBLP,1208,34.00439667701721,17,0.5,0.014072847682119206,15,False,/home/ahmeda/er_paper/models/analysis18_section7/cross_encoder/DBLP/f_0p50/seed_42,46772,1308,1308,58465,1210,11693,/home/ahmeda/er_paper/results/analysis18_section7/predictions/fraction_DBLP_f0p50_seed42.csv,0.012396694214876033,sigmoid(CrossEncoder.predict),42,0.5500000000000002,324.9864704608917,85,0.9402061855670103
1181,DBLP,1210,33.249794721603394,29,0.5,0.023966942148760332,8,False,/home/ahmeda/er_paper/models/analysis18_section7/cross_encoder/DBLP/f_0p50/seed_43,47306,1308,1308,59133,1196,11827,/home/ahmeda/er_paper/results/analysis18_section7/predictions/fraction_DBLP_f0p50_seed43.csv,0.006688963210702341,sigmoid(CrossEncoder.predict),43,0.6000000000000002,349.5186791419983,90,0.9193548387096774
1197,DBLP,1216,34.21561670303345,19,0.5,0.015625,12,False,/home/ahmeda/er_paper/models/analysis18_section7/cross_encoder/DBLP/f_0p50/seed_44,46588,1308,1308,58235,1215,11647,/home/ahmeda/er_paper/results/analysis18_section7/predictions/fraction_DBLP_f0p50_seed44.csv,0.009876543209876543,sigmoid(CrossEncoder.predict),44,0.5500000000000002,347.81278681755066,80,0.9274193548387096
1200,DBLP,1217,33.353291034698486,17,0.5,0.013968775677896467,6,False,/home/ahmeda/er_paper/models/analysis18_section7/cross_encoder/DBLP/f_0p50/seed_45,46744,1308,1308,58431,1211,11687,/home/ahmeda/er_paper/results/analysis18_section7/predictions/fraction_DBLP_f0p50_seed45.csv,0.00495458298926507,sigmoid(CrossEncoder.predict),45,0.5500000000000002,358.1077616214752,85,0.9240246406570842
1182,DBLP,1213,33.5253963470459,31,0.5,0.025556471558120363,2,False,/home/ahmeda/er_paper/models/analysis18_section7/cross_encoder/DBLP/f_0p50/seed_46,47500,1308,1308,59376,1191,11876,/home/ahmeda/er_paper/results/analysis18_section7/predictions/fraction_DBLP_f0p50_seed46.csv,0.0016792611251049538,sigmoid(CrossEncoder.predict),46,0.20000000000000004,355.6645932197571,93,0.9270216962524654
1198,DBLP,1225,32.67884016036987,27,0.5,0.022040816326530613,10,False,/home/ahmeda/er_paper/models/analysis18_section7/cross_encoder/DBLP/f_0p50/seed_47,46392,1308,1308,57990,1219,11598,/home/ahmeda/er_paper/results/analysis18_section7/predictions/fraction_DBLP_f0p50_seed47.csv,0.008203445447087777,sigmoid(CrossEncoder.predict),47,0.20000000000000004,336.3959023952484,73,0.9402061855670103
1186,DBLP,1206,34.16215968132019,20,0.5,0.01658374792703151,16,False,/home/ahmeda/er_paper/models/analysis18_section7/cross_encoder/DBLP/f_0p50/seed_48,46812,1308,1308,58516,1208,11704,/home/ahmeda/er_paper/results/analysis18_section7/predictions/fraction_DBLP_f0p50_seed48.csv,0.013245033112582781,sigmoid(CrossEncoder.predict),48,0.9000000000000002,366.2580683231354,86,0.9146341463414634
1203,DBLP,1224,34.249234676361084,21,0.5,0.01715686274509804,5,False,/home/ahmeda/er_paper/models/analysis18_section7/cross_encoder/DBLP/f_0p50/seed_49,46536,1308,1308,58170,1217,11634,/home/ahmeda/er_paper/results/analysis18_section7/predictions/fraction_DBLP_f0p50_seed49.csv,0.004108463434675432,sigmoid(CrossEncoder.predict),49,0.20000000000000004,375.68053007125854,79,0.9146341463414634
1188,DBLP,1213,33.28520131111145,25,0.5,0.020610057708161583,7,False,/home/ahmeda/er_paper/models/analysis18_section7/cross_encoder/DBLP/f_0p50/seed_50,46890,1308,1308,58613,1207,11723,/home/ahmeda/er_paper/results/analysis18_section7/predictions/fraction_DBLP_f0p50_seed50.csv,0.00579950289975145,sigmoid(CrossEncoder.predict),50,0.1,396.73504066467285,88,0.9551020408163265
1173,DBLP,1189,32.85529375076294,16,0.5,0.01345668629100084,17,False,/home/ahmeda/er_paper/models/analysis18_section7/cross_encoder/DBLP/f_0p50/seed_51,47313,1308,1308,59142,1196,11829,/home/ahmeda/er_paper/results/analysis18_section7/predictions/fraction_DBLP_f0p50_seed51.csv,0.014214046822742474,sigmoid(CrossEncoder.predict),51,0.6000000000000002,342.3538465499878,102,0.9416666666666667
962,DBLP,988,26.74775981903076,26,0.6,0.02631578947368421,5,False,/home/ahmeda/er_paper/models/analysis18_section7/cross_encoder/DBLP/f_0p60/seed_42,56019,1047,1569,70024,973,14005,/home/ahmeda/er_paper/results/analysis18_section7/predictions/fraction_DBLP_f0p60_seed42.csv,0.0051387461459403904,sigmoid(CrossEncoder.predict),42,0.15000000000000002,407.08727860450745,54,0.928082191780822
947,DBLP,967,26.504595041275024,20,0.6,0.020682523267838676,6,False,/home/ahmeda/er_paper/models/analysis18_section7/cross_encoder/DBLP/f_0p60/seed_43,56489,1047,1569,70612,961,14123,/home/ahmeda/er_paper/results/analysis18_section7/predictions/fraction_DBLP_f0p60_seed43.csv,0.006243496357960458,sigmoid(CrossEncoder.predict),43,0.20000000000000004,464.4758360385895,74,0.937394247038917
959,DBLP,966,27.028717041015625,7,0.6,0.007246376811594203,10,False,/home/ahmeda/er_paper/models/analysis18_section7/cross_encoder/DBLP/f_0p60/seed_44,56039,1047,1569,70049,972,14010,/home/ahmeda/er_paper/results/analysis18_section7/predictions/fraction_DBLP_f0p60_seed44.csv,0.0102880658436214,sigmoid(CrossEncoder.predict),44,0.9000000000000002,450.4773762226105,71,0.9415807560137457
945,DBLP,955,26.4121994972229,10,0.6,0.010471204188481676,15,False,/home/ahmeda/er_paper/models/analysis18_section7/cross_encoder/DBLP/f_0p60/seed_45,56375,1047,1569,70469,964,14094,/home/ahmeda/er_paper/results/analysis18_section7/predictions/fraction_DBLP_f0p60_seed45.csv,0.015560165975103735,sigmoid(CrossEncoder.predict),45,0.9000000000000002,391.267427444458,77,0.9442508710801394
939,DBLP,956,26.727585077285767,17,0.6,0.01778242677824268,8,False,/home/ahmeda/er_paper/models/analysis18_section7/cross_encoder/DBLP/f_0p60/seed_46,56920,1047,1569,71151,950,14231,/home/ahmeda/er_paper/results/analysis18_section7/predictions/fraction_DBLP_f0p60_seed46.csv,0.008421052631578947,sigmoid(CrossEncoder.predict),46,0.8000000000000002,482.10556983947754,83,0.9084745762711864
953,DBLP,974,26.451152801513672,21,0.6,0.021560574948665298,8,False,/home/ahmeda/er_paper/models/analysis18_section7/cross_encoder/DBLP/f_0p60/seed_47,56130,1047,1569,70163,970,14033,/home/ahmeda/er_paper/results/analysis18_section7/predictions/fraction_DBLP_f0p60_seed47.csv,0.008247422680412371,sigmoid(CrossEncoder.predict),47,0.20000000000000004,458.49295234680176,65,0.9572649572649573
953,DBLP,967,26.333380222320557,14,0.6,0.014477766287487074,8,False,/home/ahmeda/er_paper/models/analysis18_section7/cross_encoder/DBLP/f_0p60/seed_48,56111,1047,1569,70139,969,14028,/home/ahmeda/er_paper/results/analysis18_section7/predictions/fraction_DBLP_f0p60_seed48.csv,0.008255933952528379,sigmoid(CrossEncoder.predict),48,0.5500000000000002,421.1273798942566,72,0.9290540540540541
