dataset,column,k,seed,model,lambda,psi,declared,correct,false_links,missing_matches,n_true_records,threshold,validation_f1,n_train_a,n_test_a,n_train_pairs_full,n_ce_train_pairs,n_ce_validation_pairs,negative_count_mean_full,negative_count_min_full,negative_count_max_full,alternative_valid_links,runtime_seconds
DBLP,forced-1:1,1,42,cross-encoder,0.03352891869237217,0.02727272727272727,1193,1153,40,33,1210,0.9000000000000002,0.9322709163346613,1308.0,1308.0,2396.0,1916.0,480.0,1.0,1.0,1.0,0.0,27.983468770980835
DBLP,forced-1:1,1,43,cross-encoder,0.024534686971235193,0.020066889632107024,1182,1153,29,24,1196,0.8500000000000002,0.93812375249501,1308.0,1308.0,2424.0,1939.0,485.0,1.0,1.0,1.0,0.0,26.069185495376587
DBLP,forced-1:1,1,44,cross-encoder,0.02195945945945946,0.03209876543209877,1184,1158,26,39,1215,0.5000000000000001,0.9469387755102041,1308.0,1308.0,2386.0,1908.0,478.0,1.0,1.0,1.0,0.0,28.782963752746582
DBLP,forced-1:1,1,45,cross-encoder,0.024451939291736932,0.02972749793559042,1186,1157,29,36,1211,0.45000000000000007,0.934156378600823,1308.0,1308.0,2394.0,1915.0,479.0,1.0,1.0,1.0,0.0,7.602393865585327
DBLP,forced-1:1,1,46,cross-encoder,0.030795551753635585,0.03526448362720403,1169,1133,36,42,1191,0.45000000000000007,0.92578125,1308.0,1308.0,2434.0,1947.0,487.0,1.0,1.0,1.0,0.0,29.376612424850464
DBLP,forced-1:1,1,47,cross-encoder,0.025768911055694097,0.02461033634126333,1203,1172,31,30,1219,0.6000000000000002,0.936,1308.0,1308.0,2378.0,1902.0,476.0,1.0,1.0,1.0,0.0,28.852489948272705
DBLP,forced-1:1,1,48,cross-encoder,0.02826267664172901,0.01903973509933775,1203,1169,34,23,1208,0.30000000000000004,0.9301397205588823,1308.0,1308.0,2400.0,1920.0,480.0,1.0,1.0,1.0,0.0,24.65599775314331
DBLP,forced-1:1,1,49,cross-encoder,0.019867549668874173,0.013968775677896467,1208,1184,24,17,1217,0.40000000000000013,0.9411764705882353,1308.0,1308.0,2382.0,1905.0,477.0,1.0,1.0,1.0,0.0,24.645071506500244
DBLP,forced-1:1,1,50,cross-encoder,0.029411764705882353,0.027340513670256836,1190,1155,35,33,1207,0.7000000000000002,0.9365079365079365,1308.0,1308.0,2402.0,1921.0,481.0,1.0,1.0,1.0,0.0,28.102826356887817
DBLP,forced-1:1,1,51,cross-encoder,0.030716723549488054,0.03260869565217391,1172,1136,36,39,1196,0.8000000000000002,0.9456740442655935,1308.0,1308.0,2424.0,1939.0,485.0,1.0,1.0,1.0,0.0,31.063633680343628
DBLP,k=5,5,42,cross-encoder,0.030008110300081103,0.004132231404958678,1233,1196,37,5,1210,0.3500000000000001,0.9218436873747495,1308.0,1308.0,4850.0,3880.0,970.0,3.048414023372287,0.0,5.0,370.0,43.77176594734192
DBLP,k=5,5,43,cross-encoder,0.020729684908789386,0.005016722408026756,1206,1181,25,6,1196,0.9000000000000002,0.9200779727095516,1308.0,1308.0,4926.0,3940.0,986.0,3.0643564356435644,0.0,5.0,365.0,47.038949966430664
DBLP,k=5,5,44,cross-encoder,0.016433853738701727,0.007407407407407408,1217,1197,20,9,1215,0.8000000000000002,0.9306122448979591,1308.0,1308.0,4847.0,3877.0,970.0,3.062866722548198,0.0,5.0,367.0,47.430689573287964
DBLP,k=5,5,45,cross-encoder,0.017269736842105265,0.007431874483897605,1216,1195,21,9,1211,0.1,0.9390243902439024,1308.0,1308.0,4883.0,3906.0,977.0,3.0793650793650795,0.0,5.0,382.0,48.2861602306366
DBLP,k=5,5,46,cross-encoder,0.022481265611990008,0.005877413937867338,1201,1174,27,7,1191,0.7500000000000002,0.9194499017681729,1308.0,1308.0,4950.0,3960.0,990.0,3.0673788003286773,0.0,5.0,376.0,50.00283408164978
DBLP,k=5,5,47,cross-encoder,0.02040816326530612,0.005742411812961444,1225,1200,25,7,1219,0.1,0.9306930693069307,1308.0,1308.0,4808.0,3846.0,962.0,3.043734230445753,0.0,5.0,397.0,49.21897792816162
DBLP,k=5,5,48,cross-encoder,0.01978565539983512,0.009105960264900662,1213,1189,24,11,1208,0.7000000000000002,0.9209486166007905,1308.0,1308.0,4840.0,3872.0,968.0,3.033333333333333,0.0,5.0,374.0,48.3098464012146
DBLP,k=5,5,49,cross-encoder,0.014814814814814815,0.009038619556285949,1215,1197,18,11,1217,0.30000000000000004,0.9115913555992141,1308.0,1308.0,4859.0,3887.0,972.0,3.079764903442485,0.0,5.0,379.0,50.536561250686646
DBLP,k=5,5,50,cross-encoder,0.022240527182866558,0.006628003314001657,1214,1187,27,8,1207,0.15000000000000002,0.9494949494949495,1308.0,1308.0,4879.0,3903.0,976.0,3.0624479600333054,0.0,5.0,399.0,44.55686402320862
DBLP,k=5,5,51,cross-encoder,0.022462562396006656,0.00919732441471572,1202,1175,27,11,1196,0.25000000000000006,0.9378757515030061,1308.0,1308.0,4879.0,3903.0,976.0,3.0255775577557755,0.0,5.0,375.0,50.76371359825134
DBLP,k=50,50,42,cross-encoder,0.0140728476821192,0.012396694214876,1208,1191,17,15,1210,0.15,,,,,,,,,,377.0,390.1991853713989
DBLP,k=50,50,43,cross-encoder,0.0239669421487603,0.0066889632107023,1210,1181,29,8,1196,0.3500000000000001,,,,,,,,,,360.0,436.7607147693634
DBLP,k=50,50,44,cross-encoder,0.015625,0.0098765432098765,1216,1197,19,12,1215,0.2,,,,,,,,,,365.0,392.6494996547699
DBLP,k=50,50,45,cross-encoder,0.0139687756778964,0.004954582989265,1217,1200,17,6,1211,0.1,,,,,,,,,,393.0,442.08339500427246
DBLP,k=50,50,46,cross-encoder,0.0183333333333333,0.0075566750629722,1200,1178,22,9,1191,0.1,,,,,,,,,,368.0,474.2636399269104
DBLP,k=50,50,47,cross-encoder,0.0164473684210526,0.0114848236259228,1216,1196,20,14,1219,0.1,,,,,,,,,,387.0,442.94753551483154
DBLP,k=50,50,48,cross-encoder,0.0173697270471464,0.0107615894039735,1209,1188,21,13,1208,0.1,,,,,,,,,,364.0,440.5534157752991
DBLP,k=50,50,49,cross-encoder,0.0147420147420147,0.0041084634346754,1221,1203,18,5,1217,0.1,,,,,,,,,,377.0,463.55718302726746
DBLP,k=50,50,50,cross-encoder,0.0190397350993377,0.008285004142502,1208,1185,23,10,1207,0.1,,,,,,,,,,389.0,407.7001657485962
DBLP,k=50,50,51,cross-encoder,0.0142857142857142,0.0133779264214046,1190,1173,17,16,1196,0.3500000000000001,,,,,,,,,,373.0,396.75476908683777
ECOM,forced-1:1,1,42,cross-encoder,0.03441295546558704,0.08687615526802218,494,477,17,47,541,0.7000000000000002,0.8173913043478261,540.0,541.0,1080.0,864.0,216.0,1.0,1.0,1.0,0.0,13.433929443359375
ECOM,forced-1:1,1,43,cross-encoder,0.028688524590163935,0.09796672828096119,488,474,14,53,541,0.8500000000000002,0.8421052631578947,540.0,541.0,1080.0,864.0,216.0,1.0,1.0,1.0,0.0,15.391512393951416
ECOM,forced-1:1,1,44,cross-encoder,0.030800821355236138,0.09981515711645102,487,472,15,54,541,0.9000000000000002,0.8839285714285714,540.0,541.0,1080.0,864.0,216.0,1.0,1.0,1.0,0.0,16.391382455825806
ECOM,forced-1:1,1,45,cross-encoder,0.026476578411405296,0.09242144177449169,491,478,13,50,541,0.1,0.859504132231405,540.0,541.0,1080.0,864.0,216.0,1.0,1.0,1.0,0.0,15.985955715179443
ECOM,forced-1:1,1,46,cross-encoder,0.04216867469879518,0.07948243992606285,498,477,21,43,541,0.15000000000000002,0.8363636363636363,540.0,541.0,1080.0,864.0,216.0,1.0,1.0,1.0,0.0,15.120981454849243
ECOM,forced-1:1,1,47,cross-encoder,0.02004008016032064,0.07763401109057301,499,489,10,42,541,0.25000000000000006,0.8571428571428571,540.0,541.0,1080.0,864.0,216.0,1.0,1.0,1.0,0.0,15.478983402252197
ECOM,forced-1:1,1,48,cross-encoder,0.01956521739130435,0.14972273567467653,460,451,9,81,541,0.5000000000000001,0.839622641509434,540.0,541.0,1080.0,864.0,216.0,1.0,1.0,1.0,0.0,15.919750690460205
ECOM,forced-1:1,1,49,cross-encoder,0.03556485355648536,0.11645101663585952,478,461,17,63,541,0.9000000000000002,0.8458149779735683,540.0,541.0,1080.0,864.0,216.0,1.0,1.0,1.0,0.0,14.053328514099121
ECOM,forced-1:1,1,50,cross-encoder,0.03285420944558522,0.09981515711645102,487,471,16,54,541,0.6000000000000002,0.8288288288288288,540.0,541.0,1080.0,864.0,216.0,1.0,1.0,1.0,0.0,14.86283564567566
ECOM,forced-1:1,1,51,cross-encoder,0.03187250996015936,0.07208872458410351,502,486,16,39,541,0.1,0.7829787234042553,540.0,541.0,1080.0,864.0,216.0,1.0,1.0,1.0,0.0,15.39391565322876
ECOM,k=5,5,42,cross-encoder,0.06535947712418301,0.15157116451016636,459,429,30,82,541,0.15000000000000002,0.847926267281106,540.0,541.0,2740.0,2192.0,548.0,4.074074074074074,3.0,5.0,2.0,29.373002290725708
ECOM,k=5,5,43,cross-encoder,0.051224944320712694,0.17005545286506468,449,426,23,92,541,0.1,0.808695652173913,540.0,541.0,2738.0,2190.0,548.0,4.07037037037037,3.0,5.0,2.0,29.710716247558594
ECOM,k=5,5,44,cross-encoder,0.05057471264367816,0.19593345656192238,435,413,22,106,541,0.3500000000000001,0.8571428571428571,540.0,541.0,2736.0,2188.0,548.0,4.066666666666666,3.0,5.0,3.0,30.37258005142212
ECOM,k=5,5,45,cross-encoder,0.059734513274336286,0.1645101663585952,452,425,27,89,541,0.1,0.8727272727272727,540.0,541.0,2737.0,2189.0,548.0,4.068518518518519,3.0,5.0,1.0,29.61550807952881
ECOM,k=5,5,46,cross-encoder,0.05829596412556054,0.1756007393715342,446,420,26,95,541,0.1,0.8229665071770335,540.0,541.0,2737.0,2189.0,548.0,4.068518518518519,3.0,5.0,1.0,28.393900394439697
ECOM,k=5,5,47,cross-encoder,0.04377880184331797,0.1977818853974122,434,415,19,107,541,0.9000000000000002,0.8530805687203792,540.0,541.0,2740.0,2192.0,548.0,4.074074074074074,3.0,5.0,1.0,30.63208317756653
ECOM,k=5,5,48,cross-encoder,0.06911447084233262,0.14417744916820702,463,431,32,78,541,0.20000000000000004,0.8376068376068376,540.0,541.0,2741.0,2192.0,549.0,4.075925925925926,3.0,5.0,2.0,30.933984994888306
ECOM,k=5,5,49,cross-encoder,0.08149779735682819,0.16081330868761554,454,417,37,87,541,0.40000000000000013,0.8458149779735683,540.0,541.0,2736.0,2188.0,548.0,4.066666666666666,3.0,5.0,3.0,23.93674659729004
ECOM,k=5,5,50,cross-encoder,0.05045871559633028,0.19408502772643252,436,414,22,105,541,0.9000000000000002,0.8392857142857143,540.0,541.0,2738.0,2190.0,548.0,4.07037037037037,3.0,5.0,1.0,29.247711896896362
