aggregation,dataset,fraction,n_splits,FLR_mean,FLR_sd,MMR_mean,MMR_sd,legacy_psi_mean,declared_mean,correct_mean,false_links_mean,missing_matches_mean,n_true_records_mean,FLR_se,MMR_se
all_10_seeds,DBLP,0.5,10,0.016785145843737526,0.003101434570776567,0.014744339151428842,0.0035828079672512105,0.008949126571617085,1209.5,1189.2,20.3,10.8,1207.0,0.0009807597257640644,0.0011329833595511785
all_10_seeds,DBLP,0.6,10,0.01878411353823911,0.004652110550071218,0.015855345020175847,0.0038691046505062903,0.009019111899787723,968.0,949.8,18.2,8.7,965.1,0.0014711265265123842,0.0012235183201149626
all_10_seeds,DBLP,0.7,10,0.014493786790865371,0.006233620246717329,0.015056371842585103,0.0052385506361089795,0.009391816001740922,723.7,713.2,10.5,6.8,724.1,0.001971243804816751,0.0016565751648228279
all_10_seeds,DBLP,0.8,10,0.01551427536120914,0.008412284096858841,0.016341289813147607,0.005249562118905379,0.010138966959588916,483.1,475.6,7.5,4.9,483.5,0.0026601978070486445,0.001660057301428066
all_10_seeds,DBLP,0.9,10,0.014619938190236981,0.008713598969014255,0.018653104142423195,0.00678653344371777,0.012843968526159544,240.1,236.6,3.5,3.1,241.1,0.002755481935938,0.0021460903099054284
all_10_seeds,ECOM,0.5,10,0.03922175863361614,0.007938331924723933,0.15951940850277263,0.016579855986045538,0.12513863216266174,473.3,454.7,18.6,67.7,541.0,0.0025103209704555943,0.0052430108193480774
all_10_seeds,ECOM,0.6,10,0.03397152090202401,0.008169421675714226,0.16789838337182447,0.02719665803175745,0.13856812933025403,373.0,360.3,12.7,60.0,433.0,0.002583397966160642,0.00860033841250655
all_10_seeds,ECOM,0.7,10,0.028847476899210512,0.012089066168044659,0.164,0.013533021440037537,0.13907692307692307,279.8,271.7,8.1,45.2,325.0,0.0038228983875504977,0.004279517137441041
all_10_seeds,ECOM,0.8,10,0.03342549752789988,0.007018325091312587,0.17373271889400924,0.02237120336067703,0.14516129032258066,185.5,179.3,6.2,31.5,217.0,0.002219389264805699,0.0070743956618552735
all_10_seeds,ECOM,0.9,10,0.028750327951191635,0.013421600610249067,0.15779816513761466,0.039825860785565034,0.13302752293577982,94.5,91.8,2.7,14.5,109.0,0.004244282777349291,0.01259404298591682
