dataset,f,scheme,outer_labelled_size,outer_holdout_size,inner_train_draw_mean,inner_train_unique_mean,inner_test_mean,inner_test_sd,inner_test_min,inner_test_max,n_splits
DBLP,0.5,SRSWOR_65_35,1308,1308,850.0,850.0,458.0,0.0,458,458,10
DBLP,0.5,bootstrap_OOB,1308,1308,1308.0,833.9,474.1,12.661841186108054,451,491,10
DBLP,0.6,SRSWOR_65_35,1569,1047,1019.0,1019.0,550.0,0.0,550,550,10
DBLP,0.6,bootstrap_OOB,1569,1047,1569.0,996.3,572.7,12.037441588643327,548,592,10
DBLP,0.7,SRSWOR_65_35,1831,785,1190.0,1190.0,641.0,0.0,641,641,10
DBLP,0.7,bootstrap_OOB,1831,785,1831.0,1161.8,669.2,14.389811210251045,642,698,10
DBLP,0.8,SRSWOR_65_35,2092,524,1359.0,1359.0,733.0,0.0,733,733,10
DBLP,0.8,bootstrap_OOB,2092,524,2092.0,1324.2,767.8,19.32643555110748,747,795,10
DBLP,0.9,SRSWOR_65_35,2354,262,1530.0,1530.0,824.0,0.0,824,824,10
DBLP,0.9,bootstrap_OOB,2354,262,2354.0,1489.5,864.5,20.554804791094465,839,891,10
ECOM,0.5,SRSWOR_65_35,540,541,351.0,351.0,189.0,0.0,189,189,10
ECOM,0.5,bootstrap_OOB,540,541,540.0,347.1,192.9,6.505553183413554,182,207,10
ECOM,0.6,SRSWOR_65_35,648,433,421.0,421.0,227.0,0.0,227,227,10
ECOM,0.6,bootstrap_OOB,648,433,648.0,414.6,233.4,8.085652588244054,224,251,10
ECOM,0.7,SRSWOR_65_35,756,325,491.0,491.0,265.0,0.0,265,265,10
ECOM,0.7,bootstrap_OOB,756,325,756.0,481.3,274.7,9.189970378382922,263,291,10
ECOM,0.8,SRSWOR_65_35,864,217,561.0,561.0,303.0,0.0,303,303,10
ECOM,0.8,bootstrap_OOB,864,217,864.0,550.7,313.3,9.214119599831555,301,330,10
ECOM,0.9,SRSWOR_65_35,972,109,631.0,631.0,341.0,0.0,341,341,10
ECOM,0.9,bootstrap_OOB,972,109,972.0,618.0,354.0,10.913803695829934,342,376,10
