dataset,seed,seed_role,column,n_train_a,n_test_a,n_train_positive_pairs,n_train_negative_pairs,alternative_valid_entries_in_test_blocks
DBLP,42,primary,forced-1:1,1308,1308,1198,1198,0
DBLP,42,primary,k=5,1308,1308,1198,3652,1120
DBLP,42,primary,k=50,1308,1308,1198,57267,1423
DBLP,43,primary,forced-1:1,1308,1308,1212,1212,0
DBLP,43,primary,k=5,1308,1308,1212,3714,1124
DBLP,43,primary,k=50,1308,1308,1212,57921,1391
DBLP,44,primary,forced-1:1,1308,1308,1193,1193,0
DBLP,44,primary,k=5,1308,1308,1193,3654,1142
DBLP,44,primary,k=50,1308,1308,1193,57042,1443
DBLP,45,diagnostic,forced-1:1,1308,1308,1197,1197,0
DBLP,45,diagnostic,k=5,1308,1308,1197,3686,1153
DBLP,45,diagnostic,k=50,1308,1308,1197,57234,1438
DBLP,46,diagnostic,forced-1:1,1308,1308,1217,1217,0
DBLP,46,diagnostic,k=5,1308,1308,1217,3733,1121
DBLP,46,diagnostic,k=50,1308,1308,1217,58159,1384
DBLP,47,diagnostic,forced-1:1,1308,1308,1189,1189,0
DBLP,47,diagnostic,k=5,1308,1308,1189,3619,1123
DBLP,47,diagnostic,k=50,1308,1308,1189,56801,1397
DBLP,48,diagnostic,forced-1:1,1308,1308,1200,1200,0
DBLP,48,diagnostic,k=5,1308,1308,1200,3640,1099
DBLP,48,diagnostic,k=50,1308,1308,1200,57316,1373
DBLP,49,diagnostic,forced-1:1,1308,1308,1191,1191,0
DBLP,49,diagnostic,k=5,1308,1308,1191,3668,1161
DBLP,49,diagnostic,k=50,1308,1308,1191,56979,1476
DBLP,50,diagnostic,forced-1:1,1308,1308,1201,1201,0
DBLP,50,diagnostic,k=5,1308,1308,1201,3678,1134
DBLP,50,diagnostic,k=50,1308,1308,1201,57412,1420
DBLP,51,diagnostic,forced-1:1,1308,1308,1212,1212,0
DBLP,51,diagnostic,k=5,1308,1308,1212,3667,1081
DBLP,51,diagnostic,k=50,1308,1308,1212,57930,1400
ECOM,42,primary,forced-1:1,540,541,540,540,0
ECOM,42,primary,k=5,540,541,540,2200,11
ECOM,42,primary,k=50,540,541,540,26457,12
ECOM,43,primary,forced-1:1,540,541,540,540,0
ECOM,43,primary,k=5,540,541,540,2198,9
ECOM,43,primary,k=50,540,541,540,26457,11
ECOM,44,primary,forced-1:1,540,541,540,540,0
ECOM,44,primary,k=5,540,541,540,2196,8
ECOM,44,primary,k=50,540,541,540,26454,8
ECOM,45,diagnostic,forced-1:1,540,541,540,540,0
ECOM,45,diagnostic,k=5,540,541,540,2197,7
ECOM,45,diagnostic,k=50,540,541,540,26452,7
ECOM,46,diagnostic,forced-1:1,540,541,540,540,0
ECOM,46,diagnostic,k=5,540,541,540,2197,8
ECOM,46,diagnostic,k=50,540,541,540,26455,8
ECOM,47,diagnostic,forced-1:1,540,541,540,540,0
ECOM,47,diagnostic,k=5,540,541,540,2200,6
ECOM,47,diagnostic,k=50,540,541,540,26452,8
ECOM,48,diagnostic,forced-1:1,540,541,540,540,0
ECOM,48,diagnostic,k=5,540,541,540,2201,10
ECOM,48,diagnostic,k=50,540,541,540,26458,11
ECOM,49,diagnostic,forced-1:1,540,541,540,540,0
ECOM,49,diagnostic,k=5,540,541,540,2196,8
ECOM,49,diagnostic,k=50,540,541,540,26455,9
ECOM,50,diagnostic,forced-1:1,540,541,540,540,0
ECOM,50,diagnostic,k=5,540,541,540,2198,4
ECOM,50,diagnostic,k=50,540,541,540,26450,5
ECOM,51,diagnostic,forced-1:1,540,541,540,540,0
ECOM,51,diagnostic,k=5,540,541,540,2192,7
ECOM,51,diagnostic,k=50,540,541,540,26452,8
