aggregation,dataset,column,side,scorer,n_splits,lambda_mean,lambda_sd,lambda_min,lambda_max,psi_mean,psi_sd,psi_min,psi_max,declared_mean,correct_mean,false_links_mean,missing_matches_mean,n_true_records_mean,lambda_se,psi_se
all_10_seeds,DBLP,forced-1:1,bi-encoder,LR,10,0.043811,0.010644,0.032015,0.067854,0.09413,0.028097,0.043478,0.131271,1106.3,1057.5,48.8,113.7,1207.0,0.003366,0.008885
all_10_seeds,DBLP,forced-1:1,bi-encoder,MEC,10,0.025835,0.003682,0.018797,0.032377,0.100498,0.009244,0.088629,0.116489,1090.7,1062.5,28.2,121.3,1207.0,0.001164,0.002923
all_10_seeds,DBLP,forced-1:1,string,LR,10,0.02854,0.006167,0.018465,0.036458,0.094129,0.028045,0.056338,0.146321,1109.9,1078.0,31.9,113.5,1207.0,0.00195,0.008869
all_10_seeds,DBLP,forced-1:1,string,MEC,10,0.029269,0.003325,0.023788,0.035487,0.105137,0.004913,0.097781,0.114028,1096.4,1064.3,32.1,126.9,1207.0,0.001052,0.001554
all_10_seeds,DBLP,k=5,bi-encoder,LR,10,0.013994,0.004819,0.008651,0.021683,0.058983,0.012865,0.044314,0.081104,1140.6,1124.6,16.0,71.2,1207.0,0.001524,0.004068
all_10_seeds,DBLP,k=5,bi-encoder,MEC,10,0.023467,0.003135,0.02061,0.030075,0.011107,0.003023,0.006584,0.01505,1210.5,1182.1,28.4,13.4,1207.0,0.000991,0.000956
all_10_seeds,DBLP,k=5,string,LR,10,0.029073,0.0064,0.017933,0.036697,0.039085,0.010545,0.024793,0.052152,1185.3,1150.8,34.5,47.2,1207.0,0.002024,0.003335
all_10_seeds,DBLP,k=5,string,MEC,10,0.034925,0.003478,0.03102,0.040197,0.010447,0.002449,0.006574,0.014214,1225.9,1183.1,42.8,12.6,1207.0,0.0011,0.000774
all_10_seeds,DBLP,k=50,bi-encoder,LR,10,0.011384,0.003965,0.006272,0.016667,0.066721,0.012833,0.050123,0.084448,1129.7,1116.8,12.9,80.5,1207.0,0.001254,0.004058
all_10_seeds,DBLP,k=50,bi-encoder,MEC,10,0.042932,0.003413,0.038523,0.047542,0.003902,0.001733,0.001652,0.006717,1241.7,1188.4,53.3,4.7,1207.0,0.001079,0.000548
all_10_seeds,DBLP,k=50,string,LR,10,0.024654,0.009593,0.008079,0.039596,0.056649,0.016724,0.03786,0.083675,1160.6,1131.8,28.8,68.4,1207.0,0.003034,0.005289
all_10_seeds,DBLP,k=50,string,MEC,10,0.047006,0.004761,0.039809,0.052674,0.003734,0.001807,0.0,0.005853,1249.1,1190.4,58.7,4.5,1207.0,0.001505,0.000571
all_10_seeds,ECOM,forced-1:1,bi-encoder,LR,10,0.276976,0.016789,0.239464,0.296642,0.044177,0.083689,0.0,0.279113,517.1,373.8,143.3,23.9,541.0,0.005309,0.026465
all_10_seeds,ECOM,forced-1:1,bi-encoder,MEC,10,0.236112,0.028318,0.19544,0.272727,0.372643,0.03478,0.325323,0.432532,339.4,259.1,80.3,201.6,541.0,0.008955,0.010998
all_10_seeds,ECOM,forced-1:1,string,LR,10,0.295433,0.023251,0.268022,0.341959,0.006839,0.013557,0.0,0.044362,537.3,378.6,158.7,3.7,541.0,0.007353,0.004287
all_10_seeds,ECOM,forced-1:1,string,MEC,10,0.270523,0.022613,0.240291,0.304878,0.256932,0.056039,0.221811,0.414048,402.0,293.1,108.9,139.0,541.0,0.007151,0.017721
all_10_seeds,ECOM,k=5,bi-encoder,LR,10,0.236682,0.029104,0.185455,0.269022,0.361553,0.141748,0.085028,0.504621,345.4,262.3,83.1,195.6,541.0,0.009203,0.044825
all_10_seeds,ECOM,k=5,bi-encoder,MEC,10,0.28398,0.020538,0.257778,0.318707,0.203142,0.016612,0.168207,0.22366,431.1,308.7,122.4,109.9,541.0,0.006495,0.005253
all_10_seeds,ECOM,k=5,string,LR,10,0.358482,0.044029,0.294118,0.446809,0.319963,0.14939,0.097967,0.487985,367.9,233.6,134.3,173.1,541.0,0.013923,0.047241
all_10_seeds,ECOM,k=5,string,MEC,10,0.389198,0.021555,0.365517,0.44,0.182625,0.01213,0.168207,0.201479,442.2,270.0,172.2,98.8,541.0,0.006816,0.003836
all_10_seeds,ECOM,k=50,bi-encoder,LR,10,0.230915,0.028262,0.191336,0.270349,0.44732,0.091832,0.299445,0.57671,299.0,229.1,69.9,242.0,541.0,0.008937,0.02904
all_10_seeds,ECOM,k=50,bi-encoder,MEC,10,0.321943,0.01477,0.294004,0.33652,0.042884,0.007784,0.033272,0.055453,517.8,351.1,166.7,23.2,541.0,0.004671,0.002461
all_10_seeds,ECOM,k=50,string,LR,10,0.336042,0.042279,0.274194,0.415954,0.485397,0.119014,0.351201,0.669131,278.4,183.2,95.2,262.6,541.0,0.01337,0.037635
all_10_seeds,ECOM,k=50,string,MEC,10,0.454771,0.023675,0.415385,0.503158,0.137523,0.012421,0.121996,0.158965,466.6,254.3,212.3,74.4,541.0,0.007487,0.003928
