aggregation,dataset,column,side,scorer,n_splits,lambda_mean,lambda_sd,lambda_min,lambda_max,psi_mean,psi_sd,psi_min,psi_max,declared_mean,correct_mean,false_links_mean,missing_matches_mean,n_true_records_mean,lambda_se,psi_se
primary_3_seeds,DBLP,forced-1:1,bi-encoder,LR,3,0.055962,0.012305,0.043282,0.067854,0.065602,0.026279,0.043478,0.09465,1150.333333,1085.666667,64.666667,79.333333,1207.0,0.007104,0.015172
primary_3_seeds,DBLP,forced-1:1,bi-encoder,MEC,3,0.026188,0.001724,0.024839,0.028131,0.096355,0.008704,0.088629,0.105785,1094.333333,1065.666667,28.666667,116.333333,1207.0,0.000996,0.005025
primary_3_seeds,DBLP,forced-1:1,string,LR,3,0.032034,0.003885,0.029178,0.036458,0.076818,0.009155,0.066667,0.084448,1133.0,1096.666667,36.333333,92.666667,1207.0,0.002243,0.005286
primary_3_seeds,DBLP,forced-1:1,string,MEC,3,0.029939,0.005085,0.025501,0.035487,0.101627,0.002909,0.099588,0.104959,1102.333333,1069.333333,33.0,122.666667,1207.0,0.002936,0.00168
primary_3_seeds,DBLP,k=5,bi-encoder,LR,3,0.015551,0.00652,0.008651,0.021608,0.046385,0.002125,0.044314,0.04856,1157.333333,1139.333333,18.0,56.0,1207.0,0.003764,0.001227
primary_3_seeds,DBLP,k=5,bi-encoder,MEC,3,0.023077,0.00218,0.020661,0.024896,0.009668,0.003344,0.006584,0.013223,1213.333333,1185.333333,28.0,11.666667,1207.0,0.001258,0.001931
primary_3_seeds,DBLP,k=5,string,LR,3,0.030272,0.006611,0.02349,0.036697,0.029263,0.00494,0.024793,0.034568,1199.666667,1163.333333,36.333333,35.333333,1207.0,0.003817,0.002852
primary_3_seeds,DBLP,k=5,string,MEC,3,0.033983,0.004571,0.03102,0.039248,0.010216,0.00189,0.009053,0.012397,1226.333333,1184.666667,41.666667,12.333333,1207.0,0.002639,0.001091
primary_3_seeds,DBLP,k=50,bi-encoder,LR,3,0.009346,0.004669,0.006272,0.014719,0.060796,0.008126,0.051852,0.067726,1135.333333,1124.666667,10.666667,73.333333,1207.0,0.002695,0.004692
primary_3_seeds,DBLP,k=50,bi-encoder,MEC,3,0.042879,0.004517,0.038523,0.047542,0.003591,0.001263,0.002469,0.004959,1244.0,1190.666667,53.333333,4.333333,1207.0,0.002608,0.000729
primary_3_seeds,DBLP,k=50,string,LR,3,0.026594,0.004656,0.02226,0.031516,0.045301,0.007517,0.03786,0.052893,1178.0,1146.666667,31.333333,54.666667,1207.0,0.002688,0.00434
primary_3_seeds,DBLP,k=50,string,MEC,3,0.04642,0.005356,0.041567,0.052167,0.003868,0.0005,0.003292,0.004181,1249.666667,1191.666667,58.0,4.666667,1207.0,0.003092,0.000288
primary_3_seeds,ECOM,forced-1:1,bi-encoder,LR,3,0.284443,0.011829,0.272031,0.295585,0.025262,0.018699,0.003697,0.036969,527.333333,377.333333,150.0,13.666667,541.0,0.006829,0.010796
primary_3_seeds,ECOM,forced-1:1,bi-encoder,MEC,3,0.243147,0.021296,0.223464,0.265753,0.333949,0.00747,0.325323,0.338262,360.333333,272.666667,87.666667,180.666667,541.0,0.012295,0.004313
primary_3_seeds,ECOM,forced-1:1,string,LR,3,0.294257,0.012967,0.283582,0.308688,0.005545,0.00489,0.0,0.009242,538.0,379.666667,158.333333,3.0,541.0,0.007487,0.002824
primary_3_seeds,ECOM,forced-1:1,string,MEC,3,0.263305,0.02122,0.247573,0.28744,0.23968,0.005647,0.23475,0.245841,411.333333,303.0,108.333333,129.666667,541.0,0.012251,0.00326
primary_3_seeds,ECOM,k=5,bi-encoder,LR,3,0.247565,0.033158,0.209302,0.267905,0.303758,0.139557,0.16451,0.443623,376.666667,282.0,94.666667,164.333333,541.0,0.019144,0.080574
primary_3_seeds,ECOM,k=5,bi-encoder,MEC,3,0.278198,0.007657,0.273585,0.287037,0.202711,0.012983,0.190388,0.216266,431.333333,311.333333,120.0,109.666667,541.0,0.004421,0.007496
primary_3_seeds,ECOM,k=5,string,LR,3,0.342783,0.048241,0.294118,0.390588,0.380776,0.144083,0.214418,0.465804,335.0,218.0,117.0,206.0,541.0,0.027852,0.083186
primary_3_seeds,ECOM,k=5,string,MEC,3,0.388676,0.015479,0.372685,0.403587,0.182378,0.016772,0.170055,0.201479,442.333333,270.333333,172.0,98.666667,541.0,0.008937,0.009683
primary_3_seeds,ECOM,k=50,bi-encoder,LR,3,0.232642,0.036364,0.196507,0.269231,0.401109,0.152705,0.299445,0.57671,324.0,247.0,77.0,217.0,541.0,0.020995,0.088164
primary_3_seeds,ECOM,k=50,bi-encoder,MEC,3,0.327149,0.007386,0.319312,0.333981,0.04313,0.008538,0.033272,0.048059,517.666667,348.333333,169.333333,23.333333,541.0,0.004264,0.004929
primary_3_seeds,ECOM,k=50,string,LR,3,0.338193,0.013954,0.33,0.354305,0.489217,0.124359,0.395564,0.630314,276.333333,182.666667,93.666667,264.666667,541.0,0.008056,0.071799
primary_3_seeds,ECOM,k=50,string,MEC,3,0.4488,0.016771,0.437637,0.468085,0.138016,0.015055,0.127542,0.155268,466.333333,257.0,209.333333,74.666667,541.0,0.009682,0.008692
