dataset,seed,model,lambda,psi,declared,correct,false_links,missing_matches,n_true_records,threshold,alternative_valid_links,runtime_seconds
DBLP,42,CE_direct,0.014072847682119206,0.012396694214876033,1208,1191,17,15,1210,0.15000000000000002,377.0,349.5966811180115
DBLP,42,CE_legacy,0.014072847682119206,0.012396694214876033,1208,1191,17,15,1210,0.5500000000000002,377.0,349.5966811180115
DBLP,42,LR_rebuilt,0.007048458149779736,0.0628099173553719,1135,1127,8,76,1210,0.5500000000000002,,349.5966811180115
DBLP,43,CE_direct,0.023966942148760332,0.006688963210702341,1210,1181,29,8,1196,0.3500000000000001,360.0,355.49765968322754
DBLP,43,CE_legacy,0.023966942148760332,0.006688963210702341,1210,1181,29,8,1196,0.6000000000000002,360.0,355.49765968322754
DBLP,43,LR_rebuilt,0.0062724014336917565,0.0677257525083612,1116,1109,7,81,1196,0.5500000000000002,,355.49765968322754
DBLP,44,CE_direct,0.015625,0.009876543209876543,1216,1197,19,12,1215,0.20000000000000004,365.0,358.9033818244934
DBLP,44,CE_legacy,0.015625,0.009876543209876543,1216,1197,19,12,1215,0.5500000000000002,365.0,358.9033818244934
DBLP,44,LR_rebuilt,0.01471861471861472,0.05185185185185185,1155,1138,17,63,1215,0.40000000000000013,,358.9033818244934
ECOM,42,CE_direct,0.04259634888438134,0.08872458410351201,493,472,21,48,541,0.1,3.0,171.72083139419556
ECOM,42,CE_legacy,0.04408817635270541,0.07763401109057301,499,477,22,42,541,0.25000000000000006,3.0,171.72083139419556
ECOM,42,LR_rebuilt,0.23218997361477572,0.29944547134935307,379,291,88,162,541,0.15000000000000002,,171.72083139419556
ECOM,43,CE_direct,0.0440251572327044,0.11829944547134935,477,456,21,64,541,0.30000000000000004,2.0,166.13378977775574
ECOM,43,CE_legacy,0.04,0.12199630314232902,475,456,19,66,541,0.6000000000000002,2.0,166.13378977775574
ECOM,43,LR_rebuilt,0.1965065502183406,0.5767097966728281,229,184,45,312,541,0.25000000000000006,,166.13378977775574
ECOM,44,CE_direct,0.03655913978494624,0.14048059149722736,465,448,17,76,541,0.40000000000000013,1.0,167.12110090255737
ECOM,44,CE_legacy,0.03076923076923077,0.1589648798521257,455,441,14,86,541,0.8000000000000002,1.0,167.12110090255737
ECOM,44,LR_rebuilt,0.2692307692307692,0.32717190388170053,364,266,98,177,541,0.15000000000000002,,167.12110090255737
