dataset,seed,encoder,scorer,lambda,psi,declared,correct,false_links,missing_matches,n_true_records,threshold,runtime_seconds
DBLP,42,fine-tuned,LR,0.01929530201342282,0.0256198347107438,1192,1169,23,31,1210,0.5000000000000001,744.0862333774567
DBLP,42,fine-tuned,MEC,0.04156674660271783,0.0024793388429752068,1251,1199,52,3,1210,,744.0862333774567
DBLP,43,fine-tuned,LR,0.03297609233305853,0.014214046822742474,1213,1173,40,17,1196,0.40000000000000013,722.359920501709
DBLP,43,fine-tuned,MEC,0.05511182108626198,0.0008361204013377926,1252,1183,69,1,1196,,722.359920501709
DBLP,44,fine-tuned,LR,0.026359143327841845,0.01728395061728395,1214,1182,32,21,1215,0.5000000000000001,708.7210428714752
DBLP,44,fine-tuned,MEC,0.04233226837060703,0.0016460905349794238,1252,1199,53,2,1215,,708.7210428714752
ECOM,42,fine-tuned,LR,0.048426150121065374,0.2365988909426987,413,393,20,128,541,0.40000000000000013,127.65558815002441
ECOM,42,fine-tuned,MEC,0.1224105461393597,0.018484288354898338,531,466,65,10,541,,127.65558815002441
ECOM,43,fine-tuned,LR,0.05314009661835749,0.23475046210720887,414,392,22,127,541,0.3500000000000001,124.85396242141724
ECOM,43,fine-tuned,MEC,0.12357414448669202,0.027726432532347505,526,461,65,15,541,,124.85396242141724
ECOM,44,fine-tuned,LR,0.056338028169014086,0.21256931608133087,426,402,24,115,541,0.3500000000000001,129.54784536361694
ECOM,44,fine-tuned,MEC,0.1252371916508539,0.025878003696857672,527,461,66,14,541,,129.54784536361694
