aggregation,dataset,model,n_splits,lambda_mean,lambda_sd,lambda_min,lambda_max,psi_mean,psi_sd,psi_min,psi_max,declared_mean,correct_mean,false_links_mean,missing_matches_mean,n_true_records_mean,lambda_se,psi_se
primary_3_seeds,DBLP,bi-encoder / LR,3,0.009346491434028737,0.004668548751511488,0.0062724014336917565,0.01471861471861472,0.06079584057186165,0.008126349702085695,0.05185185185185185,0.0677257525083612,1135.3333333333333,1124.6666666666667,10.666666666666666,73.33333333333333,1207.0,0.002695387878410049,0.004691750188028212
primary_3_seeds,DBLP,bi-encoder / MEC,3,0.042878620065299584,0.004517414164038456,0.038523274478330656,0.04754230459307011,0.0035907650312569065,0.0012629118503715044,0.0024691358024691358,0.0049586776859504135,1244.0,1190.6666666666667,53.333333333333336,4.333333333333333,1207.0,0.0026081302836486312,0.0007291424967747564
primary_3_seeds,DBLP,cross-encoder,3,0.017888263276959845,0.0053211884785572955,0.014072847682119206,0.023966942148760332,0.009654066878484973,0.002860361881392544,0.006688963210702341,0.012396694214876033,1211.3333333333333,1189.6666666666667,21.666666666666668,11.666666666666666,1207.0,0.00307218960050379,0.0016514307022017299
primary_3_seeds,DBLP,string / LR,3,0.026594389789456694,0.0046558556629838444,0.02226027397260274,0.03151618398637138,0.04530104865341287,0.007517370525630857,0.03786008230452675,0.05289256198347107,1178.0,1146.6666666666667,31.333333333333332,54.666666666666664,1207.0,0.0026880595203317664,0.004340155896571134
primary_3_seeds,DBLP,string / MEC,3,0.04642027911388156,0.005356234232599694,0.04156674660271783,0.0521669341894061,0.0038683381605354957,0.0004995524732640696,0.0032921810699588477,0.004180602006688963,1249.6666666666667,1191.6666666666667,58.0,4.666666666666667,1207.0,0.003092423276034122,0.00028841675491335394
primary_3_seeds,ECOM,bi-encoder / LR,3,0.2326424310212952,0.03636422068490478,0.1965065502183406,0.2692307692307692,0.40110905730129387,0.1527052831964723,0.29944547134935307,0.5767097966728281,324.0,247.0,77.0,217.0,541.0,0.020994892601300733,0.08816443636016133
primary_3_seeds,ECOM,bi-encoder / MEC,3,0.32714919527000685,0.0073860369348270095,0.3193116634799235,0.3339805825242718,0.04313000616142945,0.008537527085983373,0.033271719038817,0.04805914972273567,517.6666666666666,348.3333333333333,169.33333333333334,23.333333333333332,541.0,0.004264330412566892,0.0049291435613062215
primary_3_seeds,ECOM,cross-encoder,3,0.04106021530067733,0.003962970340892654,0.03655913978494624,0.0440251572327044,0.11583487369069624,0.02596587493001291,0.08872458410351201,0.14048059149722736,478.3333333333333,458.6666666666667,19.666666666666668,62.666666666666664,541.0,0.002288021993104877,0.01499140488058711
primary_3_seeds,ECOM,string / LR,3,0.3381932883731292,0.013953514747316539,0.33,0.3543046357615894,0.48921749845964263,0.12435865082075959,0.3955637707948244,0.6303142329020333,276.3333333333333,182.66666666666666,93.66666666666667,264.6666666666667,541.0,0.008056065495504618,0.07179850052742423
primary_3_seeds,ECOM,string / MEC,3,0.4487999446575462,0.016770519623962428,0.437636761487965,0.46808510638297873,0.13801601971657426,0.015054580065151708,0.12754158964879853,0.15526802218114602,466.3333333333333,257.0,209.33333333333334,74.66666666666667,541.0,0.00968246401934461,0.008691765853152114
