dataset,seed,quartile,n_records,model,FLR,MMR,legacy_psi,declared,correct,false_links,missing_matches,unmatched_abstentions,n_true_records
DBLP,42,Q1,327,Cross-encoder,0.027888446215139417,0.027888446215139417,0.02390438247011952,251,244,7,6,70,251
DBLP,42,Q1,327,Logistic regression,0.03629032258064513,0.047808764940239,0.03187250996015936,248,239,9,8,71,251
DBLP,42,Q2,327,Cross-encoder,0.02588996763754048,0.022727272727272707,0.012987012987012988,309,301,8,4,14,308
DBLP,42,Q2,327,Logistic regression,0.027118644067796627,0.06818181818181823,0.05844155844155844,295,287,8,18,14,308
DBLP,42,Q3,327,Cross-encoder,0.006230529595015577,0.015432098765432056,0.015432098765432098,321,319,2,5,1,324
DBLP,42,Q3,327,Logistic regression,0.0032051282051281937,0.04012345679012341,0.040123456790123455,312,311,1,13,2,324
DBLP,42,Q4,327,Cross-encoder,0.0,0.0,0.0,327,327,0,0,0,327
DBLP,42,Q4,327,Logistic regression,0.0,0.0,0.0,327,327,0,0,0,327
DBLP,43,Q1,327,Cross-encoder,0.03673469387755102,0.028806584362139898,0.01646090534979424,245,236,9,4,78,243
DBLP,43,Q1,327,Logistic regression,0.06399999999999995,0.03703703703703709,0.02880658436213992,250,234,16,7,70,243
DBLP,43,Q2,327,Cross-encoder,0.05414012738853502,0.01980198019801982,0.006600660066006601,314,297,17,2,11,303
DBLP,43,Q2,327,Logistic regression,0.043624161073825496,0.05940594059405946,0.04950495049504951,298,285,13,15,14,303
DBLP,43,Q3,327,Cross-encoder,0.0092592592592593,0.006191950464396245,0.006191950464396285,324,321,3,2,1,323
DBLP,43,Q3,327,Logistic regression,0.006329113924050667,0.02786377708978327,0.02786377708978328,316,314,2,9,2,323
DBLP,43,Q4,327,Cross-encoder,0.0,0.0,0.0,327,327,0,0,0,327
DBLP,43,Q4,327,Logistic regression,0.0,0.0,0.0,327,327,0,0,0,327
DBLP,44,Q1,327,Cross-encoder,0.035019455252918275,0.03125,0.015625,257,248,9,4,66,256
DBLP,44,Q1,327,Logistic regression,0.012195121951219523,0.05078125,0.0390625,246,243,3,10,71,256
DBLP,44,Q2,327,Cross-encoder,0.022727272727272707,0.022727272727272707,0.016233766233766232,308,301,7,5,14,308
DBLP,44,Q2,327,Logistic regression,0.023648648648648685,0.06168831168831168,0.04220779220779221,296,289,7,13,18,308
DBLP,44,Q3,327,Cross-encoder,0.0092592592592593,0.0092592592592593,0.009259259259259259,324,321,3,3,0,324
DBLP,44,Q3,327,Logistic regression,0.009708737864077666,0.05555555555555558,0.05555555555555555,309,306,3,18,0,324
DBLP,44,Q4,327,Cross-encoder,0.0,0.0,0.0,327,327,0,0,0,327
DBLP,44,Q4,327,Logistic regression,0.0,0.0,0.0,327,327,0,0,0,327
ECOM,42,Q1,136,Cross-encoder,0.1333333333333333,0.3308823529411765,0.22794117647058823,105,91,14,31,0,136
ECOM,42,Q1,136,Logistic regression,0.18867924528301883,0.6838235294117647,0.6102941176470589,53,43,10,83,0,136
ECOM,42,Q2,135,Cross-encoder,0.03200000000000003,0.10370370370370374,0.07407407407407407,125,121,4,10,0,135
ECOM,42,Q2,135,Logistic regression,0.0957446808510638,0.37037037037037035,0.3037037037037037,94,85,9,41,0,135
ECOM,42,Q3,135,Cross-encoder,0.0234375,0.07407407407407407,0.05185185185185185,128,125,3,7,0,135
ECOM,42,Q3,135,Logistic regression,0.014814814814814836,0.014814814814814836,0.0,135,133,2,0,0,135
ECOM,42,Q4,135,Cross-encoder,0.0,0.0,0.0,135,135,0,0,0,135
ECOM,42,Q4,135,Logistic regression,0.0,0.0,0.0,135,135,0,0,0,135
ECOM,43,Q1,136,Cross-encoder,0.125,0.4338235294117647,0.35294117647058826,88,77,11,48,0,136
ECOM,43,Q1,136,Logistic regression,0.23404255319148937,0.7352941176470589,0.6544117647058824,47,36,11,89,0,136
ECOM,43,Q2,135,Cross-encoder,0.0714285714285714,0.1333333333333333,0.06666666666666667,126,117,9,9,0,135
ECOM,43,Q2,135,Logistic regression,0.10169491525423724,0.2148148148148148,0.1259259259259259,118,106,12,17,0,135
ECOM,43,Q3,135,Cross-encoder,0.007751937984496138,0.051851851851851816,0.044444444444444446,129,128,1,6,0,135
ECOM,43,Q3,135,Logistic regression,0.022222222222222254,0.022222222222222254,0.0,135,132,3,0,0,135
ECOM,43,Q4,135,Cross-encoder,0.0,0.007407407407407418,0.007407407407407408,134,134,0,1,0,135
ECOM,43,Q4,135,Logistic regression,0.0,0.0,0.0,135,135,0,0,0,135
ECOM,44,Q1,136,Cross-encoder,0.10465116279069764,0.4338235294117647,0.36764705882352944,86,77,9,50,0,136
ECOM,44,Q1,136,Logistic regression,0.2678571428571429,0.6985294117647058,0.5882352941176471,56,41,15,80,0,136
ECOM,44,Q2,135,Cross-encoder,0.050000000000000044,0.15555555555555556,0.1111111111111111,120,114,6,15,0,135
ECOM,44,Q2,135,Logistic regression,0.10655737704918034,0.19259259259259254,0.0962962962962963,122,109,13,13,0,135
ECOM,44,Q3,135,Cross-encoder,0.016000000000000014,0.0888888888888889,0.07407407407407407,125,123,2,10,0,135
ECOM,44,Q3,135,Logistic regression,0.014814814814814836,0.014814814814814836,0.0,135,133,2,0,0,135
ECOM,44,Q4,135,Cross-encoder,0.0,0.007407407407407418,0.007407407407407408,134,134,0,1,0,135
ECOM,44,Q4,135,Logistic regression,0.0,0.0,0.0,135,135,0,0,0,135
