dataset,quartile,model,n_splits,FLR_mean,FLR_sd,MMR_mean,MMR_sd,legacy_psi_mean,declared_mean,correct_mean,false_links_mean,missing_matches_mean,n_true_records_mean,FLR_se,MMR_se
DBLP,Q1,Cross-encoder,3,0.033214198448536236,0.004691293907175973,0.02931501019242644,0.0017374934764782704,0.018663429273304586,251.0,242.66666666666666,8.333333333333334,4.666666666666667,250.0,0.0027085198001556995,0.0010031423263599482
DBLP,Q1,Logistic regression,3,0.0374951481772882,0.025923445969835833,0.045209017325758695,0.007231518736549499,0.033247198107433096,248.0,238.66666666666666,9.333333333333334,8.333333333333334,250.0,0.014966908509007438,0.004175119289196676
DBLP,Q2,Cross-encoder,3,0.03425245591778273,0.017295671920173818,0.021752175217521746,0.0016889184292225555,0.01194047976226194,310.3333333333333,299.6666666666667,10.666666666666666,3.6666666666666665,306.3333333333333,0.009985660838927806,0.0009750975097509623
DBLP,Q2,Logistic regression,3,0.03146381793009027,0.010673128692293941,0.06309202348806313,0.0045532199564047825,0.05005143371480005,296.3333333333333,287.0,9.333333333333334,15.333333333333334,306.3333333333333,0.006162133723591426,0.0026288027675098772
DBLP,Q3,Cross-encoder,3,0.008249682704511393,0.0017486378869537183,0.0102944361630292,0.004706248885562442,0.010294436163029214,323.0,320.3333333333333,2.6666666666666665,3.3333333333333335,323.6666666666667,0.0010095765547479076,0.002717154060952852
DBLP,Q3,Logistic regression,3,0.006414326664418842,0.003252642088723567,0.041180929811820755,0.013876142675220159,0.04118092981182076,312.3333333333333,310.3333333333333,2.0,13.333333333333334,323.6666666666667,0.0018779137855020583,0.008011394708852013
DBLP,Q4,Cross-encoder,3,0.0,0.0,0.0,0.0,0.0,327.0,327.0,0.0,0.0,327.0,0.0,0.0
DBLP,Q4,Logistic regression,3,0.0,0.0,0.0,0.0,0.0,327.0,327.0,0.0,0.0,327.0,0.0,0.0
ECOM,Q1,Cross-encoder,3,0.12099483204134365,0.014754584187363428,0.3995098039215687,0.05943311594599087,0.3161764705882353,93.0,81.66666666666667,11.333333333333334,43.0,136.0,0.00851856315235527,0.03431372549019607
ECOM,Q1,Logistic regression,3,0.2301929804438837,0.039729073407505394,0.7058823529411765,0.02651140643723525,0.6176470588235294,52.0,40.0,12.0,84.0,136.0,0.022937591226477642,0.01530636764313335
ECOM,Q2,Cross-encoder,3,0.05114285714285716,0.019739114799332397,0.1308641975308642,0.026013959883586988,0.0839506172839506,123.66666666666667,117.33333333333333,6.333333333333333,11.333333333333334,135.0,0.011396383242959485,0.015019166741477075
ECOM,Q2,Logistic regression,3,0.10133232438482713,0.005415459710137784,0.25925925925925924,0.09686442096757054,0.17530864197530863,111.33333333333333,100.0,11.333333333333334,23.666666666666668,135.0,0.003126617121433622,0.05592469952052409
ECOM,Q3,Cross-encoder,3,0.015729812661498716,0.007846270759664696,0.07160493827160493,0.018641566506841387,0.056790123456790124,127.33333333333333,125.33333333333333,2.0,7.666666666666667,135.0,0.0045300465352271025,0.010762713440841187
ECOM,Q3,Logistic regression,3,0.017283950617283977,0.004276668660663901,0.017283950617283977,0.004276668660663901,0.0,135.0,132.66666666666666,2.3333333333333335,0.0,135.0,0.0024691358024691397,0.0024691358024691397
ECOM,Q4,Cross-encoder,3,0.0,0.0,0.0049382716049382784,0.004276668660663901,0.0049382716049382715,134.33333333333334,134.33333333333334,0.0,0.6666666666666666,135.0,0.0,0.0024691358024691397
ECOM,Q4,Logistic regression,3,0.0,0.0,0.0,0.0,0.0,135.0,135.0,0.0,0.0,135.0,0.0,0.0
