dataset,quartile,model,observed_FLR,expected_FLR_3dp,FLR_pass,observed_MMR,expected_MMR_3dp,MMR_pass,row_pass
DBLP,Q1,Cross-encoder,0.033214198448536236,0.033,True,0.02931501019242644,0.029,True,True
DBLP,Q1,Logistic regression,0.0374951481772882,0.037,True,0.045209017325758695,0.045,True,True
DBLP,Q2,Cross-encoder,0.03425245591778273,0.034,True,0.021752175217521746,0.022,True,True
DBLP,Q2,Logistic regression,0.03146381793009027,0.031,True,0.06309202348806313,0.063,True,True
DBLP,Q3,Cross-encoder,0.008249682704511393,0.008,True,0.0102944361630292,0.01,True,True
DBLP,Q3,Logistic regression,0.006414326664418842,0.006,True,0.041180929811820755,0.041,True,True
DBLP,Q4,Cross-encoder,0.0,0.0,True,0.0,0.0,True,True
DBLP,Q4,Logistic regression,0.0,0.0,True,0.0,0.0,True,True
ECOM,Q1,Cross-encoder,0.12099483204134365,0.121,True,0.3995098039215687,0.4,True,True
ECOM,Q1,Logistic regression,0.2301929804438837,0.23,True,0.7058823529411765,0.706,True,True
ECOM,Q2,Cross-encoder,0.05114285714285716,0.051,True,0.1308641975308642,0.131,True,True
ECOM,Q2,Logistic regression,0.10133232438482713,0.101,True,0.25925925925925924,0.259,True,True
ECOM,Q3,Cross-encoder,0.015729812661498716,0.016,True,0.07160493827160493,0.072,True,True
ECOM,Q3,Logistic regression,0.017283950617283977,0.017,True,0.017283950617283977,0.017,True,True
ECOM,Q4,Cross-encoder,0.0,0.0,True,0.0049382716049382784,0.005,True,True
ECOM,Q4,Logistic regression,0.0,0.0,True,0.0,0.0,True,True
