dataset,seed,quartile,model,n_records,declared,correct,false_links,missing_matches,n_true_records,lambda,psi
DBLP,42,Q1,cross-encoder,328,243,229,14,9,241,0.05761316872427984,0.03734439834024896
DBLP,43,Q1,cross-encoder,327,245,224,21,5,232,0.08571428571428572,0.021551724137931036
DBLP,44,Q1,cross-encoder,327,245,233,12,6,242,0.04897959183673469,0.024793388429752067
DBLP,42,Q1,two-step LR,328,206,201,5,35,241,0.024271844660194174,0.14522821576763487
DBLP,43,Q1,two-step LR,327,201,198,3,31,232,0.014925373134328358,0.1336206896551724
DBLP,44,Q1,two-step LR,327,215,210,5,27,242,0.023255813953488372,0.1115702479338843
DBLP,42,Q2,cross-encoder,326,315,313,2,2,316,0.006349206349206349,0.006329113924050633
DBLP,43,Q2,cross-encoder,327,312,304,8,2,310,0.02564102564102564,0.0064516129032258064
DBLP,44,Q2,cross-encoder,327,319,314,5,4,321,0.01567398119122257,0.012461059190031152
DBLP,42,Q2,two-step LR,326,277,275,2,39,316,0.007220216606498195,0.12341772151898735
DBLP,43,Q2,two-step LR,327,270,266,4,41,310,0.014814814814814815,0.13225806451612904
DBLP,44,Q2,two-step LR,327,286,276,10,36,321,0.03496503496503497,0.11214953271028037
DBLP,42,Q3,cross-encoder,327,323,322,1,4,326,0.0030959752321981426,0.012269938650306749
DBLP,43,Q3,cross-encoder,327,326,326,0,1,327,0.0,0.0030581039755351682
DBLP,44,Q3,cross-encoder,327,325,323,2,2,325,0.006153846153846154,0.006153846153846154
DBLP,42,Q3,two-step LR,327,325,324,1,2,326,0.003076923076923077,0.006134969325153374
DBLP,43,Q3,two-step LR,327,318,318,0,9,327,0.0,0.027522935779816515
DBLP,44,Q3,two-step LR,327,327,325,2,0,325,0.0061162079510703364,0.0
DBLP,42,Q4,cross-encoder,327,327,327,0,0,327,0.0,0.0
DBLP,43,Q4,cross-encoder,327,327,327,0,0,327,0.0,0.0
DBLP,44,Q4,cross-encoder,327,327,327,0,0,327,0.0,0.0
DBLP,42,Q4,two-step LR,327,327,327,0,0,327,0.0,0.0
DBLP,43,Q4,two-step LR,327,327,327,0,0,327,0.0,0.0
DBLP,44,Q4,two-step LR,327,327,327,0,0,327,0.0,0.0
ECOM,42,Q1,cross-encoder,136,119,110,9,17,136,0.07563025210084033,0.125
ECOM,43,Q1,cross-encoder,136,112,101,11,24,136,0.09821428571428571,0.17647058823529413
ECOM,44,Q1,cross-encoder,136,103,98,5,33,136,0.04854368932038835,0.2426470588235294
ECOM,42,Q1,two-step LR,136,47,25,22,89,136,0.46808510638297873,0.6544117647058824
ECOM,43,Q1,two-step LR,136,26,12,14,110,136,0.5384615384615384,0.8088235294117647
ECOM,44,Q1,two-step LR,136,39,14,25,97,136,0.6410256410256411,0.7132352941176471
ECOM,42,Q2,cross-encoder,135,125,120,5,10,135,0.04,0.07407407407407407
ECOM,43,Q2,cross-encoder,135,115,110,5,20,135,0.043478260869565216,0.14814814814814814
ECOM,44,Q2,cross-encoder,135,114,108,6,21,135,0.05263157894736842,0.15555555555555556
ECOM,42,Q2,two-step LR,135,74,45,29,61,135,0.3918918918918919,0.45185185185185184
ECOM,43,Q2,two-step LR,135,31,22,9,104,135,0.2903225806451613,0.7703703703703704
ECOM,44,Q2,two-step LR,135,69,40,29,66,135,0.42028985507246375,0.4888888888888889
ECOM,42,Q3,cross-encoder,135,122,117,5,13,135,0.040983606557377046,0.0962962962962963
ECOM,43,Q3,cross-encoder,135,121,119,2,14,135,0.01652892561983471,0.1037037037037037
ECOM,44,Q3,cross-encoder,135,114,112,2,21,135,0.017543859649122806,0.15555555555555556
ECOM,42,Q3,two-step LR,135,123,92,31,12,135,0.25203252032520324,0.08888888888888889
ECOM,43,Q3,two-step LR,135,50,38,12,85,135,0.24,0.6296296296296297
ECOM,44,Q3,two-step LR,135,121,92,29,14,135,0.2396694214876033,0.1037037037037037
ECOM,42,Q4,cross-encoder,135,133,130,3,2,135,0.022556390977443608,0.014814814814814815
ECOM,43,Q4,cross-encoder,135,127,126,1,8,135,0.007874015748031496,0.05925925925925926
ECOM,44,Q4,cross-encoder,135,124,123,1,11,135,0.008064516129032258,0.08148148148148149
ECOM,42,Q4,two-step LR,135,135,129,6,0,135,0.044444444444444446,0.0
ECOM,43,Q4,two-step LR,135,122,112,10,13,135,0.08196721311475409,0.0962962962962963
ECOM,44,Q4,two-step LR,135,135,120,15,0,135,0.1111111111111111,0.0
