aggregation,dataset,column,side,classifier,n_splits,lambda_mean,lambda_sd,lambda_min,lambda_max,psi_mean,psi_sd,psi_min,psi_max,threshold_mean,threshold_sd,threshold_min,threshold_max,validation_f1_mean,threshold_grid_low_count,threshold_grid_high_count,threshold_grid_extreme_count,declared_mean,correct_mean,false_links_mean,missing_matches_mean,n_true_records_mean,n_train_pairs_mean,negative_to_positive_ratio_mean,fit_and_eval_seconds_mean,lambda_se,psi_se,threshold_grid_extreme_share
all_10_seeds,DBLP,forced-1:1,string,SVM,3,0.027863,0.004906,0.024648,0.03351,0.081983,0.017255,0.069398,0.101653,0.616667,0.076376,0.55,0.7,0.920186,0,0,0,1123.666667,1092.333333,31.333333,99.0,1207.0,2402.0,1.0,0.302116,0.002832,0.009962,0.0
all_10_seeds,DBLP,forced-1:1,bi-encoder,SVM,3,0.025028,0.002413,0.022563,0.027385,0.077318,0.007686,0.069421,0.084774,0.566667,0.057735,0.5,0.6,0.908833,0,0,0,1118.0,1090.0,28.0,93.333333,1207.0,2402.0,1.0,0.321464,0.001393,0.004437,0.0
all_10_seeds,DBLP,k=5,string,SVM,3,0.031265,0.008662,0.024167,0.040917,0.018483,0.007169,0.012542,0.026446,0.466667,0.125831,0.35,0.6,0.903284,0,0,0,1213.666667,1175.666667,38.0,22.333333,1207.0,4874.333333,3.058546,0.528798,0.005001,0.004139,0.0
all_10_seeds,DBLP,k=5,bi-encoder,SVM,3,0.017217,0.003585,0.013664,0.020833,0.029849,0.010095,0.01893,0.038843,0.566667,0.125831,0.45,0.7,0.875014,0,0,0,1179.0,1158.666667,20.333333,36.0,1207.0,4874.333333,3.058546,0.578025,0.00207,0.005828,0.0
all_10_seeds,DBLP,k=50,string,SVM,3,0.028524,0.002793,0.026778,0.031746,0.025699,0.00794,0.017284,0.033058,0.333333,0.175594,0.15,0.5,0.892013,0,0,0,1204.0,1169.666667,34.333333,31.0,1207.0,58611.0,47.801896,6.269573,0.001613,0.004584,0.0
all_10_seeds,DBLP,k=50,bi-encoder,SVM,3,0.018362,0.002931,0.01528,0.021115,0.032541,0.009513,0.021739,0.039669,0.383333,0.202073,0.15,0.5,0.873439,0,0,0,1179.666667,1158.0,21.666667,39.333333,1207.0,58611.0,47.801896,6.866251,0.001692,0.005492,0.0
all_10_seeds,ECOM,forced-1:1,string,SVM,3,0.301294,0.009242,0.292052,0.310536,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.666667,3,0,3,541.0,378.0,163.0,0.0,541.0,1080.0,1.0,0.175045,0.005336,0.0,1.0
all_10_seeds,ECOM,forced-1:1,bi-encoder,SVM,3,0.274078,0.018009,0.253394,0.286275,0.105977,0.06747,0.057301,0.182994,0.383333,0.057735,0.35,0.45,0.679479,0,0,0,483.666667,350.666667,133.0,57.333333,541.0,1080.0,1.0,0.172248,0.010397,0.038954,0.0
all_10_seeds,ECOM,k=5,string,SVM,3,0.288917,0.040869,0.24581,0.327103,0.62785,0.035858,0.604436,0.669131,0.2,0.0,0.2,0.2,0.371626,0,0,0,201.333333,142.666667,58.666667,339.666667,541.0,2738.0,4.07037,0.480475,0.023596,0.020703,0.0
all_10_seeds,ECOM,k=5,bi-encoder,SVM,3,0.25219,0.029491,0.233463,0.286184,0.454097,0.06436,0.399261,0.524954,0.2,0.0,0.2,0.2,0.463951,0,0,0,295.333333,220.666667,74.666667,245.666667,541.0,2738.0,4.07037,0.428295,0.017026,0.037158,0.0
all_10_seeds,ECOM,k=50,string,SVM,3,0.144729,0.040188,0.102941,0.183099,0.881084,0.016772,0.868762,0.900185,0.133333,0.057735,0.1,0.2,0.184347,2,0,2,64.333333,55.0,9.333333,476.666667,541.0,26996.0,48.992593,12.035334,0.023203,0.009683,0.666667
all_10_seeds,ECOM,k=50,bi-encoder,SVM,3,0.210558,0.040685,0.18125,0.257009,0.61984,0.077861,0.550832,0.704251,0.1,0.0,0.1,0.1,0.385933,3,0,3,205.666667,162.0,43.666667,335.333333,541.0,26996.0,48.992593,5.584971,0.02349,0.044953,1.0
