dataset,ida,n_valid_matches,best_true_idb,best_true_similarity,best_valid_rank
DBLP,conf/vldb/RusinkiewiczKTWM95,4,T2fm7Wb1ak4J,1.0000001192092896,1
DBLP,journals/sigmod/EisenbergM02,1,wgK6p4mDSIMJ,1.0000003576278687,1
DBLP,conf/vldb/AmmannJR95,1,x-H7BqZ0Hw8J,0.9999998807907104,1
DBLP,journals/sigmod/Hammer02,1,url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D584455%26type%3Dpdf%26dl%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222,1.0,1
DBLP,conf/vldb/FerrandinaMZFM95,4,1hpY5dx3BRIJ,0.9756350517272949,1
DBLP,conf/vldb/SubietaKL95,1,gEFY87Ma0XUJ,1.0000004768371582,1
DBLP,journals/sigmod/BargaL02,2,QTzV3iNq2O8J,0.9999997019767761,1
DBLP,journals/sigmod/Ouksel02,1,url:http://portal.acm.org/citation.cfm%3Fid%3D565117.565131%26dl%3DGUIDE%26dl%3DACM%26idx%3DJ689%26part%3Dperiodical%26WantType%3Dperiodical%26title%3DACM%2520SIGMOD%2520Record%26CFID%3D11111111%26CFTOKEN%3D2222222,0.8760485053062439,1
DBLP,conf/vldb/MoserKK95,4,53hNU_r6-jgJ,1.000000238418579,1
DBLP,journals/sigmod/Konig-RiesMMPPRSVW02,2,s6EfjBMbUb4J,0.9786499738693237,1
DBLP,conf/vldb/ChaudhuriGS95,2,77Sb5mlyASgJ,1.0,1
DBLP,journals/sigmod/Kosch02,1,_avm808LQocJ,1.000000238418579,1
DBLP,conf/vldb/LuTD95,2,qX-uYKXVk7EJ,1.000000238418579,1
DBLP,conf/vldb/TreschPL95,1,1rPUqMFsS3AJ,1.0000001192092896,1
DBLP,journals/sigmod/Geller02,1,url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D507355%26type%3Dpdf%26dl%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222,0.6871777772903442,2
DBLP,conf/vldb/MehtaD95,3,xkvXoYlg2-cJ,0.9999997615814209,1
DBLP,journals/sigmod/CaplinskasEV02,5,url:http://portal.acm.org/citation.cfm%3Fid%3D507338.507367%26dl%3DGUIDE%26dl%3DACM%26idx%3DJ689%26part%3Dperiodical%26WantType%3Dperiodical%26title%3DACM%2520SIGMOD%2520Record%26CFID%3D11111111%26CFTOKEN%3D2222222,0.8394144177436829,3
DBLP,conf/vldb/SrikantA95,16,Ve-JH2yNN0kJ,1.000000238418579,1
DBLP,conf/vldb/HaasNSS95,2,x70Y3qaTL40J,1.0000003576278687,1
DBLP,journals/sigmod/Aberer02,1,url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D507353%26type%3Dpdf%26dl%3Dportal%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222,0.9999998807907104,1
DBLP,conf/vldb/FlodinR95,2,WmtiDGY_BdoJ,1.000000238418579,1
DBLP,conf/vldb/HvasshovdTBH95,6,LVitsyrkl9AJ,1.0000003576278687,1
DBLP,journals/sigmod/Kim02,1,1PPb2Y8X7rAJ,0.9983207583427429,1
DBLP,conf/vldb/LuSL95,6,h7_7SZrI7M0J,1.0,1
DBLP,journals/sigmod/ErdurD02,1,9OcrAEypDhMJ,1.0000008344650269,1
DBLP,conf/vldb/GallersdorferN95,1,U8jfPCxfXicJ,0.9999996423721313,1
DBLP,journals/sigmod/CiliaB02,1,Y1HVgTopekIJ,1.0,1
DBLP,journals/sigmod/HummerLW02,2,W1IcM8IUwAEJ,0.9999998211860657,1
DBLP,conf/vldb/LometT95,3,7KawVN8Kj10J,1.000000238418579,1
DBLP,conf/vldb/Wang95,2,7FUOWtSbiogJ,0.9999997615814209,1
DBLP,journals/sigmod/Winslett02a,1,url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D565127%26type%3Dpdf%26dl%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222,1.0000001192092896,1
DBLP,conf/vldb/SumiyaYTSI95,1,ZoMjwB0ps2kJ,1.000000238418579,1
DBLP,journals/sigmod/Camps02,1,JclQFC-1s18J,1.0000001192092896,1
DBLP,conf/vldb/DidriksenGD95,1,0TNJ5d1tfkEJ,0.9999997615814209,1
DBLP,journals/sigmod/HalkidiBV02,2,GHjgDrEbqM4J,0.9999998211860657,1
DBLP,journals/sigmod/PourabbasR02,1,QyNfyYDySawJ,0.9999999403953552,1
DBLP,conf/vldb/HoelS95,3,hwBMsP8-fXcJ,1.0000003576278687,1
DBLP,journals/sigmod/SlivinskasJS02,2,url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D565119%26type%3Dpdf%26dl%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222,0.9999999403953552,1
DBLP,conf/vldb/BrownS95,2,F-v-VG2RBQoJ,1.0000001192092896,1
DBLP,conf/vldb/LeslieJBY95,1,zmwPMSd8rGgJ,1.000000238418579,1
DBLP,journals/sigmod/CruzKLSWY02,1,url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D601882%26type%3Dpdf%26dl%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222,0.9868559837341309,1
DBLP,conf/vldb/OrensteinK95,1,Trw6DEZeqTsJ,0.9999998211860657,1
DBLP,journals/sigmod/LuoI02,2,url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D601879%26type%3Dpdf%26dl%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222,1.0000001192092896,1
DBLP,conf/vldb/Lindsay95,1,RIpWKrKho0MJ,0.9938981533050537,1
