dataset,ida,n_valid_matches,best_true_idb,best_true_similarity,best_valid_rank
ECOM,552,1,90132241,0.8222336769104004,1
ECOM,580,1,202812620,0.8830733299255371,1
ECOM,4696,1,90049928,0.8083667755126953,1
ECOM,5644,1,203023505,0.8675382137298584,1
ECOM,6284,1,202812567,0.44666141271591187,16
ECOM,6493,1,203017999,0.9368845224380493,1
ECOM,6726,1,203111433,1.0,1
ECOM,6742,1,202845629,0.8876078128814697,1
ECOM,7195,1,90105458,0.7981335520744324,1
ECOM,7783,1,202900227,0.8484450578689575,1
ECOM,7936,1,90104307,0.7396103739738464,6
ECOM,8060,1,90105056,0.7087748646736145,5
ECOM,8552,1,90138609,0.9277978539466858,1
ECOM,9071,1,203024998,0.8412166237831116,2
ECOM,9312,1,90114398,0.8570752143859863,1
ECOM,9314,1,90138520,0.8535802364349365,1
ECOM,9355,1,203151776,0.7235273718833923,3
ECOM,9546,1,208294904,0.9814479947090149,1
ECOM,9646,1,203111113,0.8820984363555908,1
ECOM,10101,1,90106172,0.8871680498123169,1
ECOM,10102,1,90106210,0.8855923414230347,1
ECOM,10640,1,203024425,0.7072254419326782,1
ECOM,11338,1,90140166,0.8926254510879517,1
ECOM,11801,1,206722262,0.7519798874855042,2
ECOM,13155,1,90109367,0.8185654282569885,1
ECOM,13202,1,10379358,0.8849835395812988,1
ECOM,13213,1,203025617,1.0000001192092896,1
ECOM,13580,1,90125772,0.8292590975761414,1
ECOM,13581,1,90125786,0.8737335205078125,1
ECOM,13700,1,90111702,0.8753225207328796,2
ECOM,13701,1,90108521,0.8859041929244995,1
ECOM,13945,1,207544306,0.7877868413925171,1
ECOM,13954,1,90128649,0.9319279193878174,1
ECOM,13996,1,203025174,0.8203556537628174,1
ECOM,14033,1,90105156,0.8497631549835205,1
ECOM,14061,1,203025423,0.8620908260345459,1
ECOM,14070,1,203162678,0.6827132701873779,1
ECOM,14563,1,202870448,0.8331296443939209,1
ECOM,14715,1,203021705,0.7272929549217224,1
ECOM,15046,1,209297200,0.8204211592674255,1
ECOM,15452,1,90136420,0.5540168285369873,13
ECOM,16000,1,208226457,0.842342734336853,1
ECOM,16003,1,208226458,0.8582721948623657,2
ECOM,16112,1,202900041,0.8291314840316772,2
ECOM,16309,1,203022472,0.8970273733139038,1
ECOM,16329,1,210521578,0.8698906302452087,1
ECOM,16394,1,203111424,0.7477084994316101,1
ECOM,16668,1,90148258,1.0000001192092896,1
ECOM,16669,1,90140203,0.9281461238861084,2
ECOM,16741,1,201959840,0.8858870267868042,1
ECOM,16758,1,90137168,0.9069151282310486,1
ECOM,16765,1,204569335,0.8449001312255859,1
ECOM,16774,1,90139860,0.6906658411026001,1
ECOM,16877,1,202434158,0.8945964574813843,1
ECOM,17067,1,90140498,0.8785009384155273,1
ECOM,17094,1,203151930,0.6741223335266113,3
ECOM,17187,1,202041204,0.7519400119781494,1
ECOM,17191,1,202041195,0.9855473637580872,1
ECOM,17220,1,90141074,0.6938478946685791,2
ECOM,17372,1,10363243,0.7948827147483826,1
ECOM,17417,1,90120953,0.8619393110275269,1
ECOM,17479,1,90145972,0.8660215139389038,1
ECOM,17596,1,90139261,0.9098067283630371,1
ECOM,17653,1,10382243,0.6280633807182312,1
ECOM,17872,1,90145561,0.8933157324790955,1
ECOM,17873,1,90145584,0.9084198474884033,1
ECOM,17906,1,204274644,0.7071021795272827,2
ECOM,18040,1,203151779,0.6793653964996338,1
ECOM,18087,1,203150909,0.8473048806190491,1
ECOM,18202,1,203347464,0.4313204288482666,2
ECOM,18441,1,209002546,0.9035674929618835,1
ECOM,18516,1,202045875,0.7013328671455383,8
ECOM,18524,1,90145909,0.8346512317657471,2
ECOM,18564,1,208715747,0.5733684301376343,19
ECOM,18567,1,208456203,0.77101731300354,2
ECOM,18837,1,203155653,0.7582843899726868,1
ECOM,18960,1,202067544,0.8220332860946655,1
ECOM,18970,1,202045862,0.7645663022994995,6
ECOM,19112,1,90148541,0.8736867308616638,1
ECOM,19132,1,202778315,0.9120486378669739,1
ECOM,19141,1,90145586,0.92435222864151,1
ECOM,19204,1,203389382,0.648883581161499,1
ECOM,19358,1,90144996,0.909574568271637,1
ECOM,19604,1,203025446,0.8868688344955444,1
ECOM,19628,1,202778257,0.5788959264755249,3
ECOM,19631,1,202812646,0.7467412948608398,1
ECOM,19672,1,203088013,0.7909225225448608,1
ECOM,19676,1,90145560,0.8481317758560181,2
ECOM,20447,1,90128026,0.7708335518836975,1
ECOM,20448,1,10377226,0.6001709699630737,2
ECOM,20450,1,201692660,0.4680466651916504,31
ECOM,20453,1,201692677,0.6834563612937927,6
ECOM,20454,1,201692648,0.6896198391914368,4
ECOM,20458,1,201953021,0.9416096210479736,1
ECOM,20459,1,201953025,0.9157518148422241,1
ECOM,20461,1,201692679,0.8023666739463806,2
ECOM,20466,1,201692695,0.8275960683822632,4
ECOM,20532,1,90105654,0.8922248482704163,1
ECOM,20534,1,203022202,0.6488242149353027,1
ECOM,21047,1,10373002,0.8823182582855225,1
ECOM,21175,1,10412788,0.9317065477371216,1
ECOM,21182,1,202486964,0.8925338983535767,1
ECOM,21267,1,203087865,0.8298929929733276,1
ECOM,21268,1,203086405,0.6842576265335083,1
ECOM,21297,1,202070149,0.9156815409660339,1
ECOM,21554,1,206460121,0.8583882451057434,1
ECOM,21875,1,201700823,0.7271831035614014,3
ECOM,21989,1,204274645,0.711299479007721,2
ECOM,22042,2,202145734,0.871263861656189,2
ECOM,22100,1,201953026,0.7375136017799377,1
ECOM,22101,1,201953039,0.6873894333839417,10
ECOM,22187,1,204587803,0.7469455003738403,1
ECOM,22212,1,90131741,0.9644048810005188,1
ECOM,22242,1,203198950,0.7546400427818298,1
ECOM,22306,1,202291459,0.9173148274421692,1
ECOM,22382,1,90131941,0.9247897863388062,1
ECOM,22558,1,10412590,0.9480626583099365,1
ECOM,22727,1,202619749,0.7761133909225464,1
ECOM,22729,1,202473822,0.7500628232955933,1
ECOM,22798,1,202143942,0.7695611715316772,1
ECOM,22940,1,203472622,0.7581615447998047,1
ECOM,23006,2,202456880,0.893488883972168,1
ECOM,23097,2,202635701,0.7910341620445251,1
ECOM,23246,2,204787802,0.8660549521446228,1
ECOM,23296,1,201647442,0.8103429675102234,1
ECOM,23325,2,202456903,0.7446335554122925,2
ECOM,23347,1,50012453,0.7977280616760254,1
ECOM,23349,1,50009858,0.8335055112838745,1
ECOM,23350,1,50012447,0.7964561581611633,1
ECOM,23519,1,208456185,0.7803159952163696,2
ECOM,23537,1,203069939,0.8693628311157227,1
ECOM,23635,1,202900002,0.7973313331604004,1
ECOM,23651,1,202784323,0.7535134553909302,1
ECOM,23658,1,203065730,0.7257479429244995,1
ECOM,23686,1,10333848,0.9148911237716675,1
ECOM,23837,1,202635467,0.8411409854888916,1
