record_index,ida,has_true_match,n_valid_matches,ft_lr_top1_idb,ft_lr_top1_score,ft_lr_top2_score,ft_lr_gap,ft_lr_threshold,ft_lr_declared,ft_lr_category,dataset,seed,ce_direct_declared,ce_direct_category,quartile
0,35680,True,1,208156276,0.8838019290794031,0.02276216150568811,0.861039767573715,0.30000000000000004,True,correct,ECOM,43,True,correct,Q4
1,33601,True,1,204071217,0.31942538781758056,0.19838177929565534,0.12104360852192522,0.30000000000000004,True,false_link,ECOM,43,True,correct,Q1
2,25990,True,1,203915639,0.7697107381682444,0.08145363787574536,0.6882571002924991,0.30000000000000004,True,correct,ECOM,43,True,correct,Q3
3,33150,True,1,208105630,0.819805580254767,0.2830568376553983,0.5367487425993687,0.30000000000000004,True,correct,ECOM,43,True,correct,Q3
4,33476,True,1,208504178,0.9004870133993063,0.761195783852275,0.13929122954703121,0.30000000000000004,True,correct,ECOM,43,True,correct,Q2
5,38876,True,1,210634625,0.6394753350003479,0.3083030210183169,0.331172313982031,0.30000000000000004,True,correct,ECOM,43,True,correct,Q2
6,33586,True,1,207338890,0.9283291706475741,0.5236814777960815,0.4046476928514926,0.30000000000000004,True,correct,ECOM,43,True,correct,Q2
7,36207,True,1,10363070,0.2521275844837254,0.008998304372460726,0.2431292801112647,0.30000000000000004,False,missing_match,ECOM,43,True,correct,Q2
8,38475,True,1,10140760,0.7922174223675684,0.02128848939459758,0.7709289329729708,0.30000000000000004,True,correct,ECOM,43,True,correct,Q4
9,24386,True,1,203340101,0.6737747391629206,0.07031369246147458,0.6034610467014461,0.30000000000000004,True,correct,ECOM,43,True,correct,Q3
10,13580,True,1,90125772,0.9050188063404465,0.5504480159020758,0.3545707904383707,0.30000000000000004,True,correct,ECOM,43,True,correct,Q2
11,35019,True,1,208117925,0.06554755095751393,0.027938260990502072,0.03760928996701185,0.30000000000000004,False,missing_match,ECOM,43,False,missing_match,Q1
12,31830,True,1,205557539,0.9401932576632176,0.07320753439334485,0.8669857232698728,0.30000000000000004,True,correct,ECOM,43,True,correct,Q4
13,32876,True,1,203870569,0.2444700127970927,0.14988758941454364,0.09458242338254907,0.30000000000000004,False,missing_match,ECOM,43,True,false_link,Q1
14,26241,True,1,208456199,0.7884459888143404,0.17189117740509088,0.6165548114092495,0.30000000000000004,True,correct,ECOM,43,True,correct,Q3
15,36812,True,1,210399819,0.6191943116109142,0.03163921968245436,0.5875550919284599,0.30000000000000004,True,correct,ECOM,43,True,correct,Q3
16,14070,True,1,203915639,0.024126490061444406,0.016263004956194073,0.007863485105250333,0.30000000000000004,False,missing_match,ECOM,43,False,missing_match,Q1
17,19358,True,1,90144996,0.5226242305716526,0.2848145533749736,0.23780967719667906,0.30000000000000004,True,correct,ECOM,43,True,false_link,Q2
18,29493,True,1,204549804,0.9132761907513868,0.1564294477302481,0.7568467430211386,0.30000000000000004,True,correct,ECOM,43,True,correct,Q4
19,37811,True,1,209245960,0.9569552448408161,0.32981809207342083,0.6271371527673952,0.30000000000000004,True,correct,ECOM,43,True,correct,Q3
20,27719,True,1,203379237,0.8706914677233896,0.07521217772956573,0.7954792899938239,0.30000000000000004,True,correct,ECOM,43,True,correct,Q4
21,33209,True,1,208653765,0.9346608820673744,0.27359210876478507,0.6610687733025893,0.30000000000000004,True,correct,ECOM,43,True,correct,Q3
22,32493,True,1,203324970,0.871127357050741,0.21701964401091617,0.6541077130398247,0.30000000000000004,True,correct,ECOM,43,True,correct,Q3
23,27589,True,1,204264643,0.698340555552011,0.10281968669443493,0.595520868857576,0.30000000000000004,True,correct,ECOM,43,True,correct,Q3
24,38451,True,1,205817166,0.8280895753313163,0.38120137630066386,0.44688819903065247,0.30000000000000004,True,correct,ECOM,43,True,correct,Q2
25,29099,True,1,204222472,0.29886868088159524,0.1390593406059509,0.15980934027564433,0.30000000000000004,False,missing_match,ECOM,43,False,missing_match,Q2
26,38511,True,1,210460676,0.9389799032708563,0.4856411299522568,0.45333877331859956,0.30000000000000004,True,correct,ECOM,43,True,correct,Q2
27,36620,True,1,208453646,0.795548538309456,0.12694967003471888,0.6685988682747371,0.30000000000000004,True,correct,ECOM,43,True,correct,Q3
28,35186,True,1,208117919,0.8985654871227523,0.8806941151681339,0.01787137195461841,0.30000000000000004,True,correct,ECOM,43,True,correct,Q1
29,33591,True,1,207388754,0.6219943441674006,0.19586604438776004,0.4261282997796406,0.30000000000000004,True,correct,ECOM,43,True,correct,Q2
30,33510,True,1,205516750,0.05567537909285096,0.002718709728348184,0.05295666936450277,0.30000000000000004,False,missing_match,ECOM,43,False,missing_match,Q1
31,38399,True,1,210479062,0.4546998064215127,0.03058107754333418,0.42411872887817853,0.30000000000000004,True,correct,ECOM,43,True,correct,Q2
32,34981,True,1,208504339,0.8358306921149424,0.7069317843197529,0.12889890779518953,0.30000000000000004,True,correct,ECOM,43,True,correct,Q1
33,36705,True,1,208930722,0.4815612315758083,0.29426208601119064,0.1872991455646177,0.30000000000000004,True,correct,ECOM,43,True,correct,Q2
34,36451,True,1,208237792,0.08371424628536496,0.05559337501713255,0.028120871268232407,0.30000000000000004,False,missing_match,ECOM,43,True,correct,Q1
35,34666,True,1,207388758,0.7338196314736042,0.5672153446999711,0.16660428677363304,0.30000000000000004,True,false_link,ECOM,43,True,false_link,Q2
36,34728,True,1,207534895,0.9689791925306391,0.09139532968737202,0.8775838628432671,0.30000000000000004,True,correct,ECOM,43,True,correct,Q4
37,33175,True,1,207542598,0.8621744233647114,0.2583565121856108,0.6038179111791007,0.30000000000000004,True,correct,ECOM,43,True,correct,Q3
38,23864,True,1,204636071,0.6136912966444596,0.004086290428803293,0.6096050062156564,0.30000000000000004,True,correct,ECOM,43,False,missing_match,Q3
39,33726,True,1,207993409,0.6021425617875941,0.1624822753924187,0.4396602863951754,0.30000000000000004,True,correct,ECOM,43,True,correct,Q2
40,29029,True,1,204679142,0.8450174499449781,0.00823132664550856,0.8367861232994696,0.30000000000000004,True,correct,ECOM,43,True,correct,Q4
41,37646,True,1,209122918,0.36730651798403285,0.14175837596570576,0.2255481420183271,0.30000000000000004,True,correct,ECOM,43,False,missing_match,Q2
42,38640,True,1,209890560,0.6399597205713778,0.022969332303612196,0.6169903882677656,0.30000000000000004,True,correct,ECOM,43,True,correct,Q3
