dataset,column,k,seed,model,lambda,psi,declared,correct,false_links,missing_matches,n_true_records,threshold,validation_f1,n_train_a,n_test_a,n_train_pairs_full,n_ce_train_pairs,n_ce_validation_pairs,negative_count_mean_full,negative_count_min_full,negative_count_max_full,alternative_valid_links,runtime_seconds
DBLP,forced-1:1,1,42,cross-encoder,0.03352891869237217,0.02727272727272727,1193,1153,40,33,1210,0.9000000000000002,0.9322709163346613,1308,1308,2396,1916,480,1.0,1,1,0,24.331469535827637
DBLP,forced-1:1,1,43,cross-encoder,0.024534686971235193,0.020066889632107024,1182,1153,29,24,1196,0.8500000000000002,0.93812375249501,1308,1308,2424,1939,485,1.0,1,1,0,23.802791833877563
DBLP,forced-1:1,1,44,cross-encoder,0.02195945945945946,0.03209876543209877,1184,1158,26,39,1215,0.5000000000000001,0.9469387755102041,1308,1308,2386,1908,478,1.0,1,1,0,24.685171127319336
DBLP,k=5,5,42,cross-encoder,0.030008110300081103,0.004132231404958678,1233,1196,37,5,1210,0.3500000000000001,0.9218436873747495,1308,1308,4850,3880,970,3.048414023372287,0,5,370,38.455233097076416
DBLP,k=5,5,43,cross-encoder,0.020729684908789386,0.005016722408026756,1206,1181,25,6,1196,0.9000000000000002,0.9200779727095516,1308,1308,4926,3940,986,3.0643564356435644,0,5,365,38.7511203289032
DBLP,k=5,5,44,cross-encoder,0.016433853738701727,0.007407407407407408,1217,1197,20,9,1215,0.8000000000000002,0.9306122448979591,1308,1308,4847,3877,970,3.062866722548198,0,5,367,40.43361687660217
ECOM,forced-1:1,1,42,cross-encoder,0.03441295546558704,0.08687615526802218,494,477,17,47,541,0.7000000000000002,0.8173913043478261,540,541,1080,864,216,1.0,1,1,0,13.560721158981323
ECOM,forced-1:1,1,43,cross-encoder,0.028688524590163935,0.09796672828096119,488,474,14,53,541,0.8500000000000002,0.8421052631578947,540,541,1080,864,216,1.0,1,1,0,13.259263038635254
ECOM,forced-1:1,1,44,cross-encoder,0.030800821355236138,0.09981515711645102,487,472,15,54,541,0.9000000000000002,0.8839285714285714,540,541,1080,864,216,1.0,1,1,0,12.994665384292603
ECOM,k=5,5,42,cross-encoder,0.06535947712418301,0.15157116451016636,459,429,30,82,541,0.15000000000000002,0.847926267281106,540,541,2740,2192,548,4.074074074074074,3,5,2,23.725587606430054
ECOM,k=5,5,43,cross-encoder,0.051224944320712694,0.17005545286506468,449,426,23,92,541,0.1,0.808695652173913,540,541,2738,2190,548,4.07037037037037,3,5,2,22.68698740005493
ECOM,k=5,5,44,cross-encoder,0.05057471264367816,0.19593345656192238,435,413,22,106,541,0.3500000000000001,0.8571428571428571,540,541,2736,2188,548,4.066666666666666,3,5,3,25.08311676979065
