dataset,column,k,seed,model,lambda,psi,declared,correct,false_links,missing_matches,n_true_records,threshold,validation_f1,n_train_a,n_test_a,n_train_pairs_full,n_ce_train_pairs,n_ce_validation_pairs,negative_count_mean_full,negative_count_min_full,negative_count_max_full,alternative_valid_links,runtime_seconds
DBLP,forced-1:1,1,42,cross-encoder,0.03352891869237217,0.02727272727272727,1193,1153,40,33,1210,0.9000000000000002,0.9322709163346613,1308.0,1308.0,2396.0,1916.0,480.0,1.0,1.0,1.0,0.0,24.331469535827637
DBLP,forced-1:1,1,43,cross-encoder,0.024534686971235193,0.020066889632107024,1182,1153,29,24,1196,0.8500000000000002,0.93812375249501,1308.0,1308.0,2424.0,1939.0,485.0,1.0,1.0,1.0,0.0,23.802791833877563
DBLP,forced-1:1,1,44,cross-encoder,0.02195945945945946,0.03209876543209877,1184,1158,26,39,1215,0.5000000000000001,0.9469387755102041,1308.0,1308.0,2386.0,1908.0,478.0,1.0,1.0,1.0,0.0,24.685171127319336
DBLP,k=5,5,42,cross-encoder,0.030008110300081103,0.004132231404958678,1233,1196,37,5,1210,0.3500000000000001,0.9218436873747495,1308.0,1308.0,4850.0,3880.0,970.0,3.048414023372287,0.0,5.0,370.0,38.455233097076416
DBLP,k=5,5,43,cross-encoder,0.020729684908789386,0.005016722408026756,1206,1181,25,6,1196,0.9000000000000002,0.9200779727095516,1308.0,1308.0,4926.0,3940.0,986.0,3.0643564356435644,0.0,5.0,365.0,38.7511203289032
DBLP,k=5,5,44,cross-encoder,0.016433853738701727,0.007407407407407408,1217,1197,20,9,1215,0.8000000000000002,0.9306122448979591,1308.0,1308.0,4847.0,3877.0,970.0,3.062866722548198,0.0,5.0,367.0,40.43361687660217
DBLP,k=50,50,42,cross-encoder,0.0140728476821192,0.012396694214876,1208,1191,17,15,1210,0.15,,,,,,,,,,377.0,349.5966811180115
DBLP,k=50,50,43,cross-encoder,0.0239669421487603,0.0066889632107023,1210,1181,29,8,1196,0.3500000000000001,,,,,,,,,,360.0,355.49765968322754
DBLP,k=50,50,44,cross-encoder,0.015625,0.0098765432098765,1216,1197,19,12,1215,0.2,,,,,,,,,,365.0,358.9033818244934
ECOM,forced-1:1,1,42,cross-encoder,0.03441295546558704,0.08687615526802218,494,477,17,47,541,0.7000000000000002,0.8173913043478261,540.0,541.0,1080.0,864.0,216.0,1.0,1.0,1.0,0.0,13.560721158981323
ECOM,forced-1:1,1,43,cross-encoder,0.028688524590163935,0.09796672828096119,488,474,14,53,541,0.8500000000000002,0.8421052631578947,540.0,541.0,1080.0,864.0,216.0,1.0,1.0,1.0,0.0,13.259263038635254
ECOM,forced-1:1,1,44,cross-encoder,0.030800821355236138,0.09981515711645102,487,472,15,54,541,0.9000000000000002,0.8839285714285714,540.0,541.0,1080.0,864.0,216.0,1.0,1.0,1.0,0.0,12.994665384292603
ECOM,k=5,5,42,cross-encoder,0.06535947712418301,0.15157116451016636,459,429,30,82,541,0.15000000000000002,0.847926267281106,540.0,541.0,2740.0,2192.0,548.0,4.074074074074074,3.0,5.0,2.0,23.725587606430054
ECOM,k=5,5,43,cross-encoder,0.051224944320712694,0.17005545286506468,449,426,23,92,541,0.1,0.808695652173913,540.0,541.0,2738.0,2190.0,548.0,4.07037037037037,3.0,5.0,2.0,22.68698740005493
ECOM,k=5,5,44,cross-encoder,0.05057471264367816,0.19593345656192238,435,413,22,106,541,0.3500000000000001,0.8571428571428571,540.0,541.0,2736.0,2188.0,548.0,4.066666666666666,3.0,5.0,3.0,25.08311676979065
ECOM,k=50,50,42,cross-encoder,0.0425963488843813,0.088724584103512,493,472,21,48,541,0.1,,,,,,,,,,3.0,171.72083139419556
ECOM,k=50,50,43,cross-encoder,0.0440251572327044,0.1182994454713493,477,456,21,64,541,0.3,,,,,,,,,,2.0,166.13378977775574
ECOM,k=50,50,44,cross-encoder,0.0365591397849462,0.1404805914972273,465,448,17,76,541,0.4000000000000001,,,,,,,,,,1.0,167.12110090255737
