aggregation,dataset,column,side,classifier,n_splits,lambda_mean,lambda_sd,lambda_min,lambda_max,psi_mean,psi_sd,psi_min,psi_max,threshold_mean,threshold_sd,threshold_min,threshold_max,validation_f1_mean,threshold_grid_low_count,threshold_grid_high_count,threshold_grid_extreme_count,declared_mean,correct_mean,false_links_mean,missing_matches_mean,n_true_records_mean,n_train_pairs_mean,negative_to_positive_ratio_mean,fit_and_eval_seconds_mean,lambda_se,psi_se,threshold_grid_extreme_share
available_seeds,DBLP,forced-1:1,string,LR,3,0.032034,0.003885,0.029178,0.036458,0.076818,0.009155,0.066667,0.084448,0.483333,0.028868,0.45,0.5,0.906233,0,0,0,1133.0,1096.666667,36.333333,92.666667,1207.0,2402.0,1.0,0.16496,0.002243,0.005286,0.0
available_seeds,DBLP,forced-1:1,string,SVM,3,0.027863,0.004906,0.024648,0.03351,0.081983,0.017255,0.069398,0.101653,0.616667,0.076376,0.55,0.7,0.920186,0,0,0,1123.666667,1092.333333,31.333333,99.0,1207.0,2402.0,1.0,0.302116,0.002832,0.009962,0.0
available_seeds,DBLP,forced-1:1,string,XGB,3,0.024309,0.002884,0.020997,0.026268,0.068848,0.021598,0.047107,0.090301,0.55,0.15,0.4,0.7,0.927501,0,0,0,1138.666667,1111.0,27.666667,83.0,1207.0,2402.0,1.0,0.621324,0.001665,0.01247,0.0
available_seeds,DBLP,forced-1:1,string,MLP,3,0.035985,0.010628,0.029075,0.048223,0.074714,0.029324,0.043478,0.101653,0.516667,0.076376,0.45,0.6,0.920428,0,0,0,1142.0,1100.666667,41.333333,90.333333,1207.0,2402.0,1.0,0.768429,0.006136,0.016931,0.0
available_seeds,DBLP,forced-1:1,bi-encoder,LR,3,0.055962,0.012305,0.043282,0.067854,0.065602,0.026279,0.043478,0.09465,0.383333,0.104083,0.3,0.5,0.877921,0,0,0,1150.333333,1085.666667,64.666667,79.333333,1207.0,2402.0,1.0,0.16092,0.007104,0.015172,0.0
available_seeds,DBLP,forced-1:1,bi-encoder,SVM,3,0.025028,0.002413,0.022563,0.027385,0.077318,0.007686,0.069421,0.084774,0.566667,0.057735,0.5,0.6,0.908833,0,0,0,1118.0,1090.0,28.0,93.333333,1207.0,2402.0,1.0,0.321464,0.001393,0.004437,0.0
available_seeds,DBLP,forced-1:1,bi-encoder,XGB,3,0.02752,0.005804,0.023214,0.034121,0.077219,0.021476,0.052676,0.092562,0.533333,0.076376,0.45,0.6,0.919994,0,0,0,1124.333333,1093.333333,31.0,93.333333,1207.0,2402.0,1.0,0.677138,0.003351,0.012399,0.0
available_seeds,DBLP,forced-1:1,bi-encoder,MLP,3,0.039635,0.002674,0.036784,0.042088,0.045836,0.005396,0.042642,0.052066,0.433333,0.028868,0.4,0.45,0.905071,0,0,0,1177.0,1130.333333,46.666667,55.333333,1207.0,2402.0,1.0,1.259257,0.001544,0.003116,0.0
available_seeds,DBLP,k=5,string,LR,3,0.030272,0.006611,0.02349,0.036697,0.029263,0.00494,0.024793,0.034568,0.45,0.086603,0.4,0.55,0.883896,0,0,0,1199.666667,1163.333333,36.333333,35.333333,1207.0,4874.333333,3.058546,0.164381,0.003817,0.002852,0.0
available_seeds,DBLP,k=5,string,SVM,3,0.031265,0.008662,0.024167,0.040917,0.018483,0.007169,0.012542,0.026446,0.466667,0.125831,0.35,0.6,0.903284,0,0,0,1213.666667,1175.666667,38.0,22.333333,1207.0,4874.333333,3.058546,0.528798,0.005001,0.004139,0.0
available_seeds,DBLP,k=5,string,XGB,3,0.027454,0.00651,0.021685,0.034511,0.017107,0.008121,0.011706,0.026446,0.516667,0.11547,0.45,0.65,0.910845,0,0,0,1213.0,1179.666667,33.333333,20.666667,1207.0,4874.333333,3.058546,0.683423,0.003758,0.004689,0.0
available_seeds,DBLP,k=5,string,MLP,3,0.033453,0.004677,0.029508,0.03862,0.018489,0.005574,0.014214,0.024793,0.533333,0.057735,0.5,0.6,0.899559,0,0,0,1215.666667,1175.0,40.666667,22.333333,1207.0,4874.333333,3.058546,1.207266,0.0027,0.003218,0.0
available_seeds,DBLP,k=5,bi-encoder,LR,3,0.015551,0.00652,0.008651,0.021608,0.046385,0.002125,0.044314,0.04856,0.433333,0.057735,0.4,0.5,0.835615,0,0,0,1157.333333,1139.333333,18.0,56.0,1207.0,4874.333333,3.058546,0.163642,0.003764,0.001227,0.0
available_seeds,DBLP,k=5,bi-encoder,SVM,3,0.017217,0.003585,0.013664,0.020833,0.029849,0.010095,0.01893,0.038843,0.566667,0.125831,0.45,0.7,0.875014,0,0,0,1179.0,1158.666667,20.333333,36.0,1207.0,4874.333333,3.058546,0.578025,0.00207,0.005828,0.0
available_seeds,DBLP,k=5,bi-encoder,XGB,3,0.032757,0.005131,0.029292,0.038651,0.011881,0.004563,0.007407,0.016529,0.35,0.05,0.3,0.4,0.879871,0,0,0,1221.666667,1181.666667,40.0,14.333333,1207.0,4874.333333,3.058546,0.61916,0.002962,0.002635,0.0
available_seeds,DBLP,k=5,bi-encoder,MLP,3,0.030048,0.004355,0.027386,0.035073,0.019074,0.005122,0.013169,0.022314,0.483333,0.076376,0.4,0.55,0.87952,0,0,0,1207.666667,1171.333333,36.333333,23.0,1207.0,4874.333333,3.058546,1.756705,0.002514,0.002957,0.0
available_seeds,DBLP,k=50,string,LR,3,0.026594,0.004656,0.02226,0.031516,0.045301,0.007517,0.03786,0.052893,0.383333,0.057735,0.35,0.45,0.86629,0,0,0,1178.0,1146.666667,31.333333,54.666667,1207.0,58611.0,47.801896,0.201749,0.002688,0.00434,0.0
available_seeds,DBLP,k=50,string,SVM,3,0.028524,0.002793,0.026778,0.031746,0.025699,0.00794,0.017284,0.033058,0.333333,0.175594,0.15,0.5,0.892013,0,0,0,1204.0,1169.666667,34.333333,31.0,1207.0,58611.0,47.801896,6.269573,0.001613,0.004584,0.0
available_seeds,DBLP,k=50,string,XGB,3,0.027087,0.004023,0.023026,0.031071,0.02243,0.011738,0.014876,0.035953,0.516667,0.208167,0.35,0.75,0.900358,0,0,0,1205.666667,1173.0,32.666667,27.0,1207.0,58611.0,47.801896,1.028115,0.002323,0.006777,0.0
available_seeds,DBLP,k=50,string,MLP,3,0.029036,0.003276,0.025599,0.032122,0.032346,0.00877,0.022222,0.037625,0.483333,0.057735,0.45,0.55,0.880205,0,0,0,1195.0,1160.333333,34.666667,39.0,1207.0,58611.0,47.801896,4.481558,0.001891,0.005063,0.0
available_seeds,DBLP,k=50,bi-encoder,LR,3,0.009346,0.004669,0.006272,0.014719,0.060796,0.008126,0.051852,0.067726,0.5,0.086603,0.4,0.55,0.840664,0,0,0,1135.333333,1124.666667,10.666667,73.333333,1207.0,58611.0,47.801896,0.198415,0.002695,0.004692,0.0
available_seeds,DBLP,k=50,bi-encoder,SVM,3,0.018362,0.002931,0.01528,0.021115,0.032541,0.009513,0.021739,0.039669,0.383333,0.202073,0.15,0.5,0.873439,0,0,0,1179.666667,1158.0,21.666667,39.333333,1207.0,58611.0,47.801896,6.866251,0.001692,0.005492,0.0
available_seeds,DBLP,k=50,bi-encoder,XGB,3,0.023782,0.009505,0.017036,0.034653,0.035338,0.010251,0.024793,0.045267,0.65,0.132288,0.5,0.75,0.87386,0,0,0,1185.333333,1157.0,28.333333,42.666667,1207.0,58611.0,47.801896,0.996102,0.005488,0.005918,0.0
available_seeds,DBLP,k=50,bi-encoder,MLP,3,0.026141,0.004076,0.022727,0.030655,0.026454,0.010677,0.01505,0.036214,0.516667,0.202073,0.3,0.7,0.870771,0,0,0,1197.666667,1166.333333,31.333333,32.0,1207.0,58611.0,47.801896,7.026709,0.002353,0.006165,0.0
available_seeds,ECOM,forced-1:1,string,LR,3,0.294257,0.012967,0.283582,0.308688,0.005545,0.00489,0.0,0.009242,0.283333,0.160728,0.1,0.4,0.669521,1,0,1,538.0,379.666667,158.333333,3.0,541.0,1080.0,1.0,0.081841,0.007487,0.002824,0.333333
available_seeds,ECOM,forced-1:1,string,SVM,3,0.301294,0.009242,0.292052,0.310536,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.666667,3,0,3,541.0,378.0,163.0,0.0,541.0,1080.0,1.0,0.175045,0.005336,0.0,1.0
available_seeds,ECOM,forced-1:1,string,XGB,3,0.335972,0.015454,0.327032,0.353818,0.015404,0.00747,0.007394,0.022181,0.183333,0.057735,0.15,0.25,0.673222,0,0,0,532.666667,353.666667,179.0,8.333333,541.0,1080.0,1.0,0.306516,0.008923,0.004313,0.0
available_seeds,ECOM,forced-1:1,string,MLP,3,0.288542,0.014253,0.275416,0.303704,0.000616,0.001067,0.0,0.001848,0.233333,0.11547,0.1,0.3,0.668062,1,0,1,540.666667,384.666667,156.0,0.333333,541.0,1080.0,1.0,0.333746,0.008229,0.000616,0.333333
available_seeds,ECOM,forced-1:1,bi-encoder,LR,3,0.284443,0.011829,0.272031,0.295585,0.025262,0.018699,0.003697,0.036969,0.383333,0.028868,0.35,0.4,0.6825,0,0,0,527.333333,377.333333,150.0,13.666667,541.0,1080.0,1.0,0.080931,0.006829,0.010796,0.0
available_seeds,ECOM,forced-1:1,bi-encoder,SVM,3,0.274078,0.018009,0.253394,0.286275,0.105977,0.06747,0.057301,0.182994,0.383333,0.057735,0.35,0.45,0.679479,0,0,0,483.666667,350.666667,133.0,57.333333,541.0,1080.0,1.0,0.172248,0.010397,0.038954,0.0
available_seeds,ECOM,forced-1:1,bi-encoder,XGB,3,0.357191,0.006974,0.349442,0.362963,0.009858,0.010831,0.001848,0.022181,0.15,0.05,0.1,0.2,0.667486,1,0,1,535.666667,344.333333,191.333333,5.333333,541.0,1080.0,1.0,0.32907,0.004026,0.006253,0.333333
available_seeds,ECOM,forced-1:1,bi-encoder,MLP,3,0.283749,0.003892,0.279297,0.286506,0.025262,0.026935,0.0,0.053604,0.3,0.05,0.25,0.35,0.682243,0,0,0,527.333333,377.666667,149.666667,13.666667,541.0,1080.0,1.0,0.34473,0.002247,0.015551,0.0
available_seeds,ECOM,k=5,string,LR,3,0.342783,0.048241,0.294118,0.390588,0.380776,0.144083,0.214418,0.465804,0.283333,0.028868,0.25,0.3,0.421844,0,0,0,335.0,218.0,117.0,206.0,541.0,2738.0,4.07037,0.08374,0.027852,0.083186,0.0
available_seeds,ECOM,k=5,string,SVM,3,0.288917,0.040869,0.24581,0.327103,0.62785,0.035858,0.604436,0.669131,0.2,0.0,0.2,0.2,0.371626,0,0,0,201.333333,142.666667,58.666667,339.666667,541.0,2738.0,4.07037,0.480475,0.023596,0.020703,0.0
available_seeds,ECOM,k=5,string,XGB,3,0.493537,0.041749,0.44591,0.52381,0.183611,0.116456,0.066543,0.299445,0.2,0.05,0.15,0.25,0.423455,0,0,0,441.666667,222.333333,219.333333,99.333333,541.0,2738.0,4.07037,0.322764,0.024104,0.067236,0.0
available_seeds,ECOM,k=5,string,MLP,3,0.321415,0.069924,0.241546,0.371601,0.471965,0.126416,0.38817,0.617375,0.316667,0.028868,0.3,0.35,0.442475,0,0,0,285.666667,190.666667,95.0,255.333333,541.0,2738.0,4.07037,0.499169,0.040371,0.072986,0.0
available_seeds,ECOM,k=5,bi-encoder,LR,3,0.247565,0.033158,0.209302,0.267905,0.303758,0.139557,0.16451,0.443623,0.25,0.05,0.2,0.3,0.487033,0,0,0,376.666667,282.0,94.666667,164.333333,541.0,2738.0,4.07037,0.081453,0.019144,0.080574,0.0
available_seeds,ECOM,k=5,bi-encoder,SVM,3,0.25219,0.029491,0.233463,0.286184,0.454097,0.06436,0.399261,0.524954,0.2,0.0,0.2,0.2,0.463951,0,0,0,295.333333,220.666667,74.666667,245.666667,541.0,2738.0,4.07037,0.428295,0.017026,0.037158,0.0
available_seeds,ECOM,k=5,bi-encoder,XGB,3,0.398736,0.016646,0.381062,0.414118,0.23167,0.043323,0.19963,0.280961,0.216667,0.028868,0.2,0.25,0.473421,0,0,0,415.666667,250.0,165.666667,125.333333,541.0,2738.0,4.07037,0.321223,0.009611,0.025013,0.0
available_seeds,ECOM,k=5,bi-encoder,MLP,3,0.250878,0.019268,0.228792,0.264249,0.249538,0.059294,0.181146,0.286506,0.233333,0.028868,0.2,0.25,0.481416,0,0,0,406.0,304.0,102.0,135.0,541.0,2738.0,4.07037,0.574124,0.011125,0.034233,0.0
available_seeds,ECOM,k=50,string,LR,3,0.338193,0.013954,0.33,0.354305,0.489217,0.124359,0.395564,0.630314,0.166667,0.028868,0.15,0.2,0.358817,0,0,0,276.333333,182.666667,93.666667,264.666667,541.0,26996.0,48.992593,0.099324,0.008056,0.071799,0.0
available_seeds,ECOM,k=50,string,SVM,3,0.144729,0.040188,0.102941,0.183099,0.881084,0.016772,0.868762,0.900185,0.133333,0.057735,0.1,0.2,0.184347,2,0,2,64.333333,55.0,9.333333,476.666667,541.0,26996.0,48.992593,12.035334,0.023203,0.009683,0.666667
available_seeds,ECOM,k=50,string,XGB,3,0.376922,0.033855,0.337838,0.397183,0.499692,0.135533,0.343808,0.589649,0.233333,0.076376,0.15,0.3,0.356121,0,0,0,270.666667,167.666667,103.0,270.333333,541.0,26996.0,48.992593,0.456046,0.019546,0.07825,0.0
available_seeds,ECOM,k=50,string,MLP,3,0.339808,0.038719,0.300752,0.378182,0.547751,0.184864,0.397412,0.754159,0.2,0.05,0.15,0.25,0.360489,0,0,0,244.666667,159.666667,85.0,296.333333,541.0,26996.0,48.992593,1.638872,0.022355,0.106732,0.0
available_seeds,ECOM,k=50,bi-encoder,LR,3,0.232642,0.036364,0.196507,0.269231,0.401109,0.152705,0.299445,0.57671,0.183333,0.057735,0.15,0.25,0.456151,0,0,0,324.0,247.0,77.0,217.0,541.0,26996.0,48.992593,0.098956,0.020995,0.088164,0.0
available_seeds,ECOM,k=50,bi-encoder,SVM,3,0.210558,0.040685,0.18125,0.257009,0.61984,0.077861,0.550832,0.704251,0.1,0.0,0.1,0.1,0.385933,3,0,3,205.666667,162.0,43.666667,335.333333,541.0,26996.0,48.992593,5.584971,0.02349,0.044953,1.0
available_seeds,ECOM,k=50,bi-encoder,XGB,3,0.295949,0.022443,0.275956,0.320225,0.362908,0.053103,0.323475,0.42329,0.2,0.0,0.2,0.2,0.431803,0,0,0,344.666667,242.666667,102.0,196.333333,541.0,26996.0,48.992593,0.482751,0.012957,0.030659,0.0
available_seeds,ECOM,k=50,bi-encoder,MLP,3,0.227957,0.035009,0.19598,0.265363,0.432532,0.172974,0.327172,0.632163,0.216667,0.11547,0.15,0.35,0.465989,0,0,0,307.0,235.333333,71.666667,234.0,541.0,26996.0,48.992593,1.238724,0.020212,0.099866,0.0
