dataset,seed,column,side,analysis20_lambda,analysis20_psi,analysis20_threshold,analysis16_lambda,analysis16_psi,analysis16_threshold,lambda_delta,psi_delta,threshold_delta
DBLP,42,forced-1:1,string,0.029177718832891247,0.07933884297520662,0.5000000000000001,0.0291777188328912,0.0793388429752066,0.5000000000000001,4.85722573273506e-17,1.3877787807814457e-17,0.0
DBLP,43,forced-1:1,string,0.03046594982078853,0.08444816053511706,0.5000000000000001,0.0304659498207885,0.084448160535117,0.5000000000000001,3.122502256758253e-17,5.551115123125783e-17,0.0
DBLP,44,forced-1:1,string,0.036458333333333336,0.06666666666666667,0.45000000000000007,0.0364583333333333,0.0666666666666666,0.45,3.469446951953614e-17,6.938893903907228e-17,5.551115123125783e-17
DBLP,42,forced-1:1,bi-encoder,0.05674978503869303,0.05867768595041322,0.3500000000000001,0.056749785038693,0.0586776859504132,0.3500000000000001,3.469446951953614e-17,2.0816681711721685e-17,0.0
DBLP,43,forced-1:1,bi-encoder,0.06785411365564037,0.043478260869565216,0.30000000000000004,0.0678541136556403,0.0434782608695652,0.3,6.938893903907228e-17,1.3877787807814457e-17,5.551115123125783e-17
DBLP,44,forced-1:1,bi-encoder,0.04328223624887286,0.09465020576131687,0.5000000000000001,0.0432822362488728,0.0946502057613168,0.5000000000000001,6.245004513516506e-17,6.938893903907228e-17,0.0
DBLP,42,k=5,string,0.030629139072847682,0.024793388429752067,0.40000000000000013,0.0306291390728476,0.024793388429752,0.4000000000000001,8.326672684688674e-17,6.591949208711867e-17,5.551115123125783e-17
DBLP,43,k=5,string,0.03669724770642202,0.028428093645484948,0.40000000000000013,0.036697247706422,0.0284280936454849,0.4000000000000001,2.0816681711721685e-17,4.85722573273506e-17,5.551115123125783e-17
DBLP,44,k=5,string,0.02348993288590604,0.0345679012345679,0.5500000000000002,0.023489932885906,0.0345679012345679,0.5500000000000002,4.163336342344337e-17,0.0,0.0
DBLP,42,k=5,bi-encoder,0.00865051903114187,0.04628099173553719,0.40000000000000013,0.0086505190311418,0.0462809917355371,0.4000000000000001,6.938893903907228e-17,9.020562075079397e-17,5.551115123125783e-17
DBLP,43,k=5,bi-encoder,0.021607605877268798,0.04431438127090301,0.40000000000000013,0.0216076058772687,0.044314381270903,0.4000000000000001,9.71445146547012e-17,6.938893903907228e-18,5.551115123125783e-17
DBLP,44,k=5,bi-encoder,0.01639344262295082,0.048559670781893,0.5000000000000001,0.0163934426229508,0.048559670781893,0.5000000000000001,2.0816681711721685e-17,0.0,0.0
DBLP,42,k=50,string,0.02226027397260274,0.05289256198347107,0.45000000000000007,0.0222602739726027,0.052892561983471,0.45,3.8163916471489756e-17,7.632783294297951e-17,5.551115123125783e-17
DBLP,43,k=50,string,0.03151618398637138,0.0451505016722408,0.3500000000000001,0.0315161839863713,0.0451505016722408,0.3500000000000001,7.632783294297951e-17,0.0,0.0
DBLP,44,k=50,string,0.026006711409395974,0.03786008230452675,0.3500000000000001,0.0260067114093959,0.0378600823045267,0.3500000000000001,7.28583859910259e-17,4.85722573273506e-17,0.0
