abstained_unmatched,classifier,column,correct,dataset,declared,false_links,fit_and_eval_seconds,lambda,missing_matches,n_fit_pairs,n_train_negative_pairs,n_train_pairs,n_train_positive_pairs,n_true_records,n_unmatched_records,n_validation_pairs,negative_to_positive_ratio,protocol_source,psi,seed,seed_role,side,sklearn_version,threshold,threshold_grid_extreme,threshold_grid_high,threshold_grid_low,validation_f1,warnings,xgboost_version
84,SVM,forced-1:1,1073,DBLP,1101,28,0.29514265060424805,0.025431425976385105,123,1916,1198,2396,1198,1210,98,480,1.0,/home/ahmeda/ER_Transformer_Reproducible_RUN/scripts/analysis16_clean_2x2.py,0.10165289256198347,42,primary,string,1.9.1,0.7000000000000002,False,False,False,0.9133192389006343,"['FutureWarning: The `probability` parameter was deprecated in 1.9 and will be removed in version 1.11. Use `CalibratedClassifierCV(SVC(), ensemble=False)` instead of `SVC(probability=True)`']",3.3.0
91,SVM,forced-1:1,1096,DBLP,1134,38,0.3077118396759033,0.03350970017636684,83,1939,1212,2424,1212,1196,112,485,1.0,/home/ahmeda/ER_Transformer_Reproducible_RUN/scripts/analysis16_clean_2x2.py,0.06939799331103678,43,primary,string,1.9.1,0.6000000000000002,False,False,False,0.9300411522633745,"['FutureWarning: The `probability` parameter was deprecated in 1.9 and will be removed in version 1.11. Use `CalibratedClassifierCV(SVC(), ensemble=False)` instead of `SVC(probability=True)`']",3.3.0
81,SVM,forced-1:1,1108,DBLP,1136,28,0.30349278450012207,0.02464788732394366,91,1908,1193,2386,1193,1215,93,478,1.0,/home/ahmeda/ER_Transformer_Reproducible_RUN/scripts/analysis16_clean_2x2.py,0.07489711934156379,44,primary,string,1.9.1,0.5500000000000002,False,False,False,0.9171974522292994,"['FutureWarning: The `probability` parameter was deprecated in 1.9 and will be removed in version 1.11. Use `CalibratedClassifierCV(SVC(), ensemble=False)` instead of `SVC(probability=True)`']",3.3.0
92,SVM,forced-1:1,1101,DBLP,1132,31,0.3156416416168213,0.027385159010600707,84,1916,1198,2396,1198,1210,98,480,1.0,/home/ahmeda/ER_Transformer_Reproducible_RUN/scripts/analysis16_clean_2x2.py,0.06942148760330578,42,primary,bi-encoder,1.9.1,0.5000000000000001,False,False,False,0.9168356997971603,"['FutureWarning: The `probability` parameter was deprecated in 1.9 and will be removed in version 1.11. Use `CalibratedClassifierCV(SVC(), ensemble=False)` instead of `SVC(probability=True)`']",3.3.0
107,SVM,forced-1:1,1083,DBLP,1108,25,0.3206210136413574,0.02256317689530686,93,1939,1212,2424,1212,1196,112,485,1.0,/home/ahmeda/ER_Transformer_Reproducible_RUN/scripts/analysis16_clean_2x2.py,0.07775919732441472,43,primary,bi-encoder,1.9.1,0.6000000000000002,False,False,False,0.8921161825726142,"['FutureWarning: The `probability` parameter was deprecated in 1.9 and will be removed in version 1.11. Use `CalibratedClassifierCV(SVC(), ensemble=False)` instead of `SVC(probability=True)`']",3.3.0
91,SVM,forced-1:1,1086,DBLP,1114,28,0.32813048362731934,0.025134649910233394,103,1908,1193,2386,1193,1215,93,478,1.0,/home/ahmeda/ER_Transformer_Reproducible_RUN/scripts/analysis16_clean_2x2.py,0.08477366255144032,44,primary,bi-encoder,1.9.1,0.6000000000000002,False,False,False,0.9175475687103594,"['FutureWarning: The `probability` parameter was deprecated in 1.9 and will be removed in version 1.11. Use `CalibratedClassifierCV(SVC(), ensemble=False)` instead of `SVC(probability=True)`']",3.3.0
76,SVM,k=5,1171,DBLP,1200,29,0.5217392444610596,0.024166666666666666,32,3880,3652,4850,1198,1210,98,970,3.048414023372287,/home/ahmeda/ER_Transformer_Reproducible_RUN/scripts/analysis16_clean_2x2.py,0.026446280991735537,42,primary,string,1.9.1,0.6000000000000002,False,False,False,0.9022222222222223,"['FutureWarning: The `probability` parameter was deprecated in 1.9 and will be removed in version 1.11. Use `CalibratedClassifierCV(SVC(), ensemble=False)` instead of `SVC(probability=True)`']",3.3.0
71,SVM,k=5,1172,DBLP,1222,50,0.5241782665252686,0.04091653027823241,15,3940,3714,4926,1212,1196,112,986,3.0643564356435644,/home/ahmeda/ER_Transformer_Reproducible_RUN/scripts/analysis16_clean_2x2.py,0.01254180602006689,43,primary,string,1.9.1,0.3500000000000001,False,False,False,0.8871287128712871,"['FutureWarning: The `probability` parameter was deprecated in 1.9 and will be removed in version 1.11. Use `CalibratedClassifierCV(SVC(), ensemble=False)` instead of `SVC(probability=True)`']",3.3.0
69,SVM,k=5,1184,DBLP,1219,35,0.5404758453369141,0.02871205906480722,20,3877,3654,4847,1193,1215,93,970,3.062866722548198,/home/ahmeda/ER_Transformer_Reproducible_RUN/scripts/analysis16_clean_2x2.py,0.01646090534979424,44,primary,string,1.9.1,0.45000000000000007,False,False,False,0.9205020920502092,"['FutureWarning: The `probability` parameter was deprecated in 1.9 and will be removed in version 1.11. Use `CalibratedClassifierCV(SVC(), ensemble=False)` instead of `SVC(probability=True)`']",3.3.0
90,SVM,k=5,1155,DBLP,1171,16,0.5650825500488281,0.013663535439795047,47,3880,3652,4850,1198,1210,98,970,3.048414023372287,/home/ahmeda/ER_Transformer_Reproducible_RUN/scripts/analysis16_clean_2x2.py,0.03884297520661157,42,primary,bi-encoder,1.9.1,0.7000000000000002,False,False,False,0.8701298701298701,"['FutureWarning: The `probability` parameter was deprecated in 1.9 and will be removed in version 1.11. Use `CalibratedClassifierCV(SVC(), ensemble=False)` instead of `SVC(probability=True)`']",3.3.0
104,SVM,k=5,1146,DBLP,1166,20,0.5833907127380371,0.017152658662092625,38,3940,3714,4926,1212,1196,112,986,3.0643564356435644,/home/ahmeda/ER_Transformer_Reproducible_RUN/scripts/analysis16_clean_2x2.py,0.03177257525083612,43,primary,bi-encoder,1.9.1,0.5500000000000002,False,False,False,0.8833333333333333,"['FutureWarning: The `probability` parameter was deprecated in 1.9 and will be removed in version 1.11. Use `CalibratedClassifierCV(SVC(), ensemble=False)` instead of `SVC(probability=True)`']",3.3.0
