aggregation,dataset,f,scheme,target_FLR_mean,inner_FLR_mean,bias_FLR_mean,bias_FLR_SE,target_MMR_mean,inner_MMR_mean,bias_MMR_mean,bias_MMR_SE,n_splits
all_10_seeds,DBLP,0.5,SRSWOR_65_35,0.016785145843737526,0.019519454630868183,0.002734308787130657,0.002608286010023091,0.014744339151428842,0.01301060485844685,-0.0017337342929819922,0.0014362988676769712,10
all_10_seeds,DBLP,0.5,bootstrap_OOB,0.016785145843737526,0.02051302560495636,0.003727879761218833,0.0021927498802900985,0.014744339151428842,0.019899103523854444,0.005154764372425602,0.002255890342968631,10
all_10_seeds,DBLP,0.6,SRSWOR_65_35,0.01878411353823911,0.024137122033636615,0.0053530084953975045,0.002872592082414032,0.015855345020175847,0.015231571809802568,-0.0006237732103732796,0.002141744651638933,10
all_10_seeds,DBLP,0.6,bootstrap_OOB,0.01878411353823911,0.02177492588560147,0.002990812347362359,0.002467692425716017,0.015855345020175847,0.015447034111991786,-0.0004083109081840619,0.0015808512340607405,10
all_10_seeds,DBLP,0.7,SRSWOR_65_35,0.014493786790865371,0.01965928763671033,0.005165500845844962,0.003468221359718782,0.015056371842585103,0.01452143003553683,-0.0005349418070482725,0.0032746216306491463,10
all_10_seeds,DBLP,0.7,bootstrap_OOB,0.014493786790865371,0.02457463852716394,0.010080851736298569,0.0033404347040721038,0.015056371842585103,0.01782509625266924,0.0027687244100841335,0.0028378611584444885,10
all_10_seeds,DBLP,0.8,SRSWOR_65_35,0.01551427536120914,0.018490762297807516,0.002976486936598377,0.004473232450979735,0.016341289813147607,0.01766685599962169,0.0013255661864740808,0.0027871063166059347,10
all_10_seeds,DBLP,0.8,bootstrap_OOB,0.01551427536120914,0.02348660829152458,0.00797233293031544,0.004260502098923925,0.016341289813147607,0.017982525506112845,0.0016412356929652373,0.003305272914659289,10
all_10_seeds,DBLP,0.9,SRSWOR_65_35,0.014619938190236981,0.018521257748736288,0.0039013195584993053,0.0032978728096477714,0.018653104142423195,0.01593878915678394,-0.0027143149856392545,0.0032923139234353575,10
all_10_seeds,DBLP,0.9,bootstrap_OOB,0.014619938190236981,0.021144698850306655,0.006524760660069673,0.0026111139608316273,0.018653104142423195,0.015448929452141758,-0.003204174690281436,0.002379500873443621,10
all_10_seeds,ECOM,0.5,SRSWOR_65_35,0.03922175863361614,0.04062165211977461,0.0013998934861584656,0.003861100565389216,0.15951940850277263,0.17407407407407408,0.014554665571301462,0.012174557224018234,10
all_10_seeds,ECOM,0.5,bootstrap_OOB,0.03922175863361614,0.04040139248881437,0.0011796338551982254,0.006437046482511205,0.15951940850277263,0.1694497387218238,0.009930330219051186,0.009443626916640272,10
all_10_seeds,ECOM,0.6,SRSWOR_65_35,0.03397152090202401,0.03333588570484031,-0.0006356351971837038,0.006184326243539654,0.16789838337182444,0.18281938325991193,0.014920999888087438,0.013925467808508257,10
all_10_seeds,ECOM,0.6,bootstrap_OOB,0.03397152090202401,0.03845782985686448,0.004486308954840468,0.006087256218586597,0.16789838337182444,0.16414130877467778,-0.003757074597146681,0.013168122859913802,10
all_10_seeds,ECOM,0.7,SRSWOR_65_35,0.028847476899210512,0.035606174989482965,0.006758698090272452,0.007294579086052537,0.164,0.1615094339622641,-0.0024905660377358974,0.007741443843017945,10
all_10_seeds,ECOM,0.7,bootstrap_OOB,0.028847476899210512,0.03717903900204571,0.0083315621028352,0.0061113840803884885,0.164,0.17125032363308518,0.007250323633085154,0.009310787624296612,10
all_10_seeds,ECOM,0.8,SRSWOR_65_35,0.03342549752789988,0.03414039696748785,0.0007148994395879682,0.0049772694075075905,0.17373271889400926,0.166996699669967,-0.006736019224042234,0.013596700617640015,10
all_10_seeds,ECOM,0.8,bootstrap_OOB,0.03342549752789988,0.03433973629333544,0.0009142387654355599,0.003675382392189288,0.17373271889400926,0.1655182801504273,-0.008214438743581909,0.007803752078033433,10
all_10_seeds,ECOM,0.9,SRSWOR_65_35,0.028750327951191635,0.03298382891903001,0.0042335009678383774,0.004916228725460998,0.1577981651376147,0.16539589442815245,0.007597729290537802,0.01796138602524633,10
all_10_seeds,ECOM,0.9,bootstrap_OOB,0.028750327951191635,0.03489994451408849,0.006149616562896853,0.005700427443007504,0.1577981651376147,0.16479530086867072,0.006997135731056059,0.016418621002042857,10
