dataset,dataset_display,fraction,seed,scheme,target_FLR,inner_FLR,bias_FLR,target_MMR,inner_MMR,bias_MMR,outer_labelled_size,outer_holdout_size,inner_train_draw_size,inner_train_unique_size,inner_test_size,target_reused,target_source,analysis18_checkpoint_present_and_compatible,threshold,validation_f1,n_train_pairs_total,n_fit_pairs,n_validation_pairs,inner_declared,inner_false_links,inner_missing_matches,inner_n_true_records,train_seconds_this_run,evaluation_seconds,model_path,prediction_path,split_path,analysis,created_at,inner_correct,inner_test_ids_hash,inner_train_draw_hash,model_loaded_from_checkpoint,protocol_version,role
DBLP,DBLP-Scholar,0.5,42,SRSWOR_65_35,0.014072847682119206,0.02588235294117647,0.011809505259057265,0.012396694214876033,0.002386634844868735,-0.010010059370007297,1308,1308,850,850,458,True,analysis18_cell_prediction_manifest,True,0.8500000000000002,0.9240506329113924,38054,30443,7611,425,11,1,419,224.02048206329346,12.42248249053955,/home/ahmeda/ER_Transformer_Reproducible_RUN/models/analysis22_section332_bias/cross_encoder/SRSWOR_65_35/DBLP/f_0p50/seed_42,/home/ahmeda/ER_Transformer_Reproducible_RUN/results/analysis22_section332_bias/predictions/inner_DBLP_f0p50_seed42_SRSWOR_65_35.csv,/home/ahmeda/ER_Transformer_Reproducible_RUN/results/analysis22_section332_bias/splits/split_DBLP_f0p50_seed42_SRSWOR_65_35.json,analysis22_section332_bias,2026-09-24 13:44:28,414,254f67c0519f2f37fe0cd31f74cc8bc3e979406e8235a49f904535c74edb93f8,df555958a8491614ee672736ab855d3604572878cdb1d2dc5292bca38596e5a1,False,analysis22-v2-seeded-2026-07-28,inner
DBLP,DBLP-Scholar,0.5,43,SRSWOR_65_35,0.023966942148760332,0.02570093457943925,0.0017339924306789198,0.006688963210702341,0.0070921985815602835,0.0004032353708579425,1308,1308,850,850,458,True,analysis18_cell_prediction_manifest,True,0.20000000000000004,0.9506172839506173,38541,30832,7709,428,11,3,423,196.46871995925903,12.318283796310425,/home/ahmeda/ER_Transformer_Reproducible_RUN/models/analysis22_section332_bias/cross_encoder/SRSWOR_65_35/DBLP/f_0p50/seed_43,/home/ahmeda/ER_Transformer_Reproducible_RUN/results/analysis22_section332_bias/predictions/inner_DBLP_f0p50_seed43_SRSWOR_65_35.csv,/home/ahmeda/ER_Transformer_Reproducible_RUN/results/analysis22_section332_bias/splits/split_DBLP_f0p50_seed43_SRSWOR_65_35.json,analysis22_section332_bias,2026-09-24 13:53:31,417,ea7d58d6d4f022c7ec92399c1aa9491f26688aebf98dc2c15f82f7c5e53b51f6,18fd1f2a4080127a5886c0cc54d6894809f07733f826d16c4bb8ee2719efd685,False,analysis22-v2-seeded-2026-07-28,inner
DBLP,DBLP-Scholar,0.5,44,SRSWOR_65_35,0.015625,0.011990407673860911,-0.0036345923261390887,0.009876543209876543,0.007194244604316547,-0.002682298605559996,1308,1308,850,850,458,True,analysis18_cell_prediction_manifest,True,0.8000000000000002,0.9358974358974359,37867,30293,7574,417,5,3,417,186.52174735069275,12.423181533813477,/home/ahmeda/ER_Transformer_Reproducible_RUN/models/analysis22_section332_bias/cross_encoder/SRSWOR_65_35/DBLP/f_0p50/seed_44,/home/ahmeda/ER_Transformer_Reproducible_RUN/results/analysis22_section332_bias/predictions/inner_DBLP_f0p50_seed44_SRSWOR_65_35.csv,/home/ahmeda/ER_Transformer_Reproducible_RUN/results/analysis22_section332_bias/splits/split_DBLP_f0p50_seed44_SRSWOR_65_35.json,analysis22_section332_bias,2026-09-24 14:02:25,412,58bf0de5c3fe8536967ed25ca464ee104e399c32d080abda0353625788f2fe5d,86a2d714400a1aa50b5b3824f3be140d4ee8dbcc8f31772631c6fe4759c56042,False,analysis22-v2-seeded-2026-07-28,inner
DBLP,DBLP-Scholar,0.5,45,SRSWOR_65_35,0.013968775677896467,0.018779342723004695,0.004810567045108228,0.00495458298926507,0.004728132387706856,-0.00022645060155821427,1308,1308,850,850,458,True,analysis18_cell_prediction_manifest,True,0.6000000000000002,0.926984126984127,37810,30248,7562,426,8,2,423,197.29551005363464,12.88277268409729,/home/ahmeda/ER_Transformer_Reproducible_RUN/models/analysis22_section332_bias/cross_encoder/SRSWOR_65_35/DBLP/f_0p50/seed_45,/home/ahmeda/ER_Transformer_Reproducible_RUN/results/analysis22_section332_bias/predictions/inner_DBLP_f0p50_seed45_SRSWOR_65_35.csv,/home/ahmeda/ER_Transformer_Reproducible_RUN/results/analysis22_section332_bias/splits/split_DBLP_f0p50_seed45_SRSWOR_65_35.json,analysis22_section332_bias,2026-09-24 14:11:28,418,0e878d3e0e613424821682d25016b55ea724627fb30b5f1dada60a1699a0942d,2b68b490e51fe525d09fc62afeaed5d84b79b043fa4db27ac3e90a2ed06f03df,False,analysis22-v2-seeded-2026-07-28,inner
DBLP,DBLP-Scholar,0.5,46,SRSWOR_65_35,0.025556471558120363,0.016241299303944315,-0.009315172254176048,0.0016792611251049538,0.004651162790697674,0.0029719016655927206,1308,1308,850,850,458,True,analysis18_cell_prediction_manifest,True,0.1,0.9292307692307692,38412,30729,7683,431,7,2,430,203.5775282382965,13.130522727966309,/home/ahmeda/ER_Transformer_Reproducible_RUN/models/analysis22_section332_bias/cross_encoder/SRSWOR_65_35/DBLP/f_0p50/seed_46,/home/ahmeda/ER_Transformer_Reproducible_RUN/results/analysis22_section332_bias/predictions/inner_DBLP_f0p50_seed46_SRSWOR_65_35.csv,/home/ahmeda/ER_Transformer_Reproducible_RUN/results/analysis22_section332_bias/splits/split_DBLP_f0p50_seed46_SRSWOR_65_35.json,analysis22_section332_bias,2026-09-24 14:20:46,424,09b46fc07df520106666213a8bf056a7b31f2f162976cd57b3ded45d728098b1,c80ef25e5982e123417566bd7bd582409d84e8b255dfa85ce781ae0204fedd19,False,analysis22-v2-seeded-2026-07-28,inner
DBLP,DBLP-Scholar,0.5,47,SRSWOR_65_35,0.022040816326530613,0.01639344262295082,-0.005647373703579792,0.008203445447087777,0.004705882352941176,-0.0034975630941466006,1308,1308,850,850,458,True,analysis18_cell_prediction_manifest,True,0.9000000000000002,0.9226006191950464,37287,29829,7458,427,7,2,425,216.7184226512909,20.174366235733032,/home/ahmeda/ER_Transformer_Reproducible_RUN/models/analysis22_section332_bias/cross_encoder/SRSWOR_65_35/DBLP/f_0p50/seed_47,/home/ahmeda/ER_Transformer_Reproducible_RUN/results/analysis22_section332_bias/predictions/inner_DBLP_f0p50_seed47_SRSWOR_65_35.csv,/home/ahmeda/ER_Transformer_Reproducible_RUN/results/analysis22_section332_bias/splits/split_DBLP_f0p50_seed47_SRSWOR_65_35.json,analysis22_section332_bias,2026-09-24 14:30:26,420,84545b56a419c73ed333df6fdf906d163a88a03478ca6387232c96b4989997f5,c701d30e0528a5a8d7b025266864bf4552e83c82d6d71cad78fef033be6fe28e,False,analysis22-v2-seeded-2026-07-28,inner
DBLP,DBLP-Scholar,0.5,48,SRSWOR_65_35,0.01658374792703151,0.011904761904761904,-0.004678986022269606,0.013245033112582781,0.009523809523809525,-0.0037212235887732568,1308,1308,850,850,458,True,analysis18_cell_prediction_manifest,True,0.8500000000000002,0.9161290322580645,38054,30443,7611,420,5,4,420,202.9602415561676,13.011096239089966,/home/ahmeda/ER_Transformer_Reproducible_RUN/models/analysis22_section332_bias/cross_encoder/SRSWOR_65_35/DBLP/f_0p50/seed_48,/home/ahmeda/ER_Transformer_Reproducible_RUN/results/analysis22_section332_bias/predictions/inner_DBLP_f0p50_seed48_SRSWOR_65_35.csv,/home/ahmeda/ER_Transformer_Reproducible_RUN/results/analysis22_section332_bias/splits/split_DBLP_f0p50_seed48_SRSWOR_65_35.json,analysis22_section332_bias,2026-09-24 14:41:30,415,528774ac6050205c98034e5b2ca0f0608ff6a625f1c9b1b4f4db36ac1ae09d9f,17fdf5818537128dfc8e359425ddfcd0771bb129f264e8ed107b4606f0ac8109,False,analysis22-v2-seeded-2026-07-28,inner
DBLP,DBLP-Scholar,0.5,49,SRSWOR_65_35,0.01715686274509804,0.02843601895734597,0.01127915621224793,0.004108463434675432,0.0,-0.004108463434675432,1308,1308,850,850,458,True,analysis18_cell_prediction_manifest,True,0.7500000000000002,0.932475884244373,37908,30326,7582,422,12,0,414,195.62733912467957,13.523068189620972,/home/ahmeda/ER_Transformer_Reproducible_RUN/models/analysis22_section332_bias/cross_encoder/SRSWOR_65_35/DBLP/f_0p50/seed_49,/home/ahmeda/ER_Transformer_Reproducible_RUN/results/analysis22_section332_bias/predictions/inner_DBLP_f0p50_seed49_SRSWOR_65_35.csv,/home/ahmeda/ER_Transformer_Reproducible_RUN/results/analysis22_section332_bias/splits/split_DBLP_f0p50_seed49_SRSWOR_65_35.json,analysis22_section332_bias,2026-09-24 14:50:33,410,32967ac817a1969ce558bd28461ac4a7c56d2a7654530a2cd221338bf236bb64,78a01663f35f35a5616688677b34db392d55ff8e868e04323af924da66803c70,False,analysis22-v2-seeded-2026-07-28,inner
DBLP,DBLP-Scholar,0.5,50,SRSWOR_65_35,0.020610057708161583,0.011848341232227487,-0.008761716475934095,0.00579950289975145,0.0071090047393364926,0.0013095018395850424,1308,1308,850,850,458,True,analysis18_cell_prediction_manifest,True,0.7000000000000002,0.9196141479099679,37976,30380,7596,422,5,3,422,193.8035216331482,12.452689409255981,/home/ahmeda/ER_Transformer_Reproducible_RUN/models/analysis22_section332_bias/cross_encoder/SRSWOR_65_35/DBLP/f_0p50/seed_50,/home/ahmeda/ER_Transformer_Reproducible_RUN/results/analysis22_section332_bias/predictions/inner_DBLP_f0p50_seed50_SRSWOR_65_35.csv,/home/ahmeda/ER_Transformer_Reproducible_RUN/results/analysis22_section332_bias/splits/split_DBLP_f0p50_seed50_SRSWOR_65_35.json,analysis22_section332_bias,2026-09-24 14:59:40,417,1ad788ba377e85027935188f75bc7033dbe56d3f46080b51fb7eff2dc9986cde,91b66442640bdd4c861ad221147edf6fa55a87ce9fc94a3ac717f8537df10507,False,analysis22-v2-seeded-2026-07-28,inner
DBLP,DBLP-Scholar,0.5,51,SRSWOR_65_35,0.01345668629100084,0.027777777777777776,0.014321091486776936,0.014214046822742474,0.00936768149882904,-0.004846365323913434,1308,1308,850,850,458,True,analysis18_cell_prediction_manifest,True,0.20000000000000004,0.9404388714733543,38250,30600,7650,432,12,4,427,206.64139914512634,12.554810523986816,/home/ahmeda/ER_Transformer_Reproducible_RUN/models/analysis22_section332_bias/cross_encoder/SRSWOR_65_35/DBLP/f_0p50/seed_51,/home/ahmeda/ER_Transformer_Reproducible_RUN/results/analysis22_section332_bias/predictions/inner_DBLP_f0p50_seed51_SRSWOR_65_35.csv,/home/ahmeda/ER_Transformer_Reproducible_RUN/results/analysis22_section332_bias/splits/split_DBLP_f0p50_seed51_SRSWOR_65_35.json,analysis22_section332_bias,2026-09-24 15:09:28,420,6beab8df2c20f0a2dc1cb67c6988ede38b98d3552bac53230acab3877953f817,283c8db8b8fd19202ed753b457821e7cf0d25de265995925f86b0757db00ab5b,False,analysis22-v2-seeded-2026-07-28,inner
DBLP,DBLP-Scholar,0.5,42,bootstrap_OOB,0.014072847682119206,0.028824833702882482,0.014751986020763276,0.012396694214876033,0.013392857142857142,0.0009961629279811087,1308,1308,1308,817,491,True,analysis18_cell_prediction_manifest,True,0.8000000000000002,0.973305954825462,58869,47095,11774,451,13,6,448,291.78929233551025,13.500327587127686,/home/ahmeda/ER_Transformer_Reproducible_RUN/models/analysis22_section332_bias/cross_encoder/bootstrap_OOB/DBLP/f_0p50/seed_42,/home/ahmeda/ER_Transformer_Reproducible_RUN/results/analysis22_section332_bias/predictions/inner_DBLP_f0p50_seed42_bootstrap_OOB.csv,/home/ahmeda/ER_Transformer_Reproducible_RUN/results/analysis22_section332_bias/splits/split_DBLP_f0p50_seed42_bootstrap_OOB.json,analysis22_section332_bias,2026-09-24 13:49:50,438,f109cd3d54186c28eba8f52ff17e7070c27a56193a61abb789e394dfd1259f66,83e710b212420df8f956e850c1654e767fec73e252c9501ddb83c777341950fb,False,analysis22-v2-seeded-2026-07-28,inner
DBLP,DBLP-Scholar,0.5,43,bootstrap_OOB,0.023966942148760332,0.013793103448275862,-0.01017383870048447,0.006688963210702341,0.009195402298850575,0.0025064390881482336,1308,1308,1308,839,469,True,analysis18_cell_prediction_manifest,True,0.7500000000000002,0.9665271966527197,58938,47150,11788,435,6,4,435,292.7933099269867,12.684009790420532,/home/ahmeda/ER_Transformer_Reproducible_RUN/models/analysis22_section332_bias/cross_encoder/bootstrap_OOB/DBLP/f_0p50/seed_43,/home/ahmeda/ER_Transformer_Reproducible_RUN/results/analysis22_section332_bias/predictions/inner_DBLP_f0p50_seed43_bootstrap_OOB.csv,/home/ahmeda/ER_Transformer_Reproducible_RUN/results/analysis22_section332_bias/splits/split_DBLP_f0p50_seed43_bootstrap_OOB.json,analysis22_section332_bias,2026-09-24 13:58:53,429,b04efc0889e128a6a21f2a202d89ce5bf28c1183aede59f3c42a67a70e92aec6,dff9222db292f6e0cff16d069fcc5f88601a27e7dfc2a0c862e17abc4e2903b6,False,analysis22-v2-seeded-2026-07-28,inner
DBLP,DBLP-Scholar,0.5,44,bootstrap_OOB,0.015625,0.01809954751131222,0.002474547511312219,0.009876543209876543,0.009009009009009009,-0.0008675342008675341,1308,1308,1308,823,485,True,analysis18_cell_prediction_manifest,True,0.8500000000000002,0.9669421487603306,58150,46520,11630,442,8,4,444,290.593327999115,13.520032167434692,/home/ahmeda/ER_Transformer_Reproducible_RUN/models/analysis22_section332_bias/cross_encoder/bootstrap_OOB/DBLP/f_0p50/seed_44,/home/ahmeda/ER_Transformer_Reproducible_RUN/results/analysis22_section332_bias/predictions/inner_DBLP_f0p50_seed44_bootstrap_OOB.csv,/home/ahmeda/ER_Transformer_Reproducible_RUN/results/analysis22_section332_bias/splits/split_DBLP_f0p50_seed44_bootstrap_OOB.json,analysis22_section332_bias,2026-09-24 14:07:45,434,43d2bf6db0c735b747c99b9e3f15a51bc147305e7a82c20187720a56abbb6af8,7f857512bfd6c0f4516b2642c6e2dfa0d40abb22ce2fa95553032a807be11aac,False,analysis22-v2-seeded-2026-07-28,inner
DBLP,DBLP-Scholar,0.5,45,bootstrap_OOB,0.013968775677896467,0.020594965675057208,0.0066261899971607405,0.00495458298926507,0.006928406466512702,0.0019738234772476325,1308,1308,1308,835,473,True,analysis18_cell_prediction_manifest,True,0.30000000000000004,0.9673469387755103,58429,46743,11686,437,9,3,433,297.6455090045929,13.18382215499878,/home/ahmeda/ER_Transformer_Reproducible_RUN/models/analysis22_section332_bias/cross_encoder/bootstrap_OOB/DBLP/f_0p50/seed_45,/home/ahmeda/ER_Transformer_Reproducible_RUN/results/analysis22_section332_bias/predictions/inner_DBLP_f0p50_seed45_bootstrap_OOB.csv,/home/ahmeda/ER_Transformer_Reproducible_RUN/results/analysis22_section332_bias/splits/split_DBLP_f0p50_seed45_bootstrap_OOB.json,analysis22_section332_bias,2026-09-24 14:16:56,428,7e80d83bdc5c57d89da59ad5622a6776a692e1190d8e8c8d9d0a14b14f75b856,2fc6faf866020a2a032e9d5328a986becd797cacbb6a0964b3f495d9b8aed8d7,False,analysis22-v2-seeded-2026-07-28,inner
