record_index,ida,has_true_match,n_valid_matches,ft_lr_top1_idb,ft_lr_top1_score,ft_lr_top2_score,ft_lr_gap,ft_lr_threshold,ft_lr_declared,ft_lr_category,dataset,seed,ce_direct_declared,ce_direct_category
0,32889,True,1,208085178,0.4151412173602133,0.1686101240316054,0.2465310933286079,0.40000000000000013,True,correct,ECOM,42,True,correct
1,33936,True,1,207391019,0.8439571110369359,0.1230452302532499,0.7209118807836861,0.40000000000000013,True,correct,ECOM,42,True,correct
2,35175,True,1,209297205,0.03522344860160584,0.0108141639632743,0.024409284638331537,0.40000000000000013,False,missing_match,ECOM,42,False,missing_match
3,34126,True,1,203166120,0.8224068409983271,0.7827753889483449,0.039631452049982197,0.40000000000000013,True,correct,ECOM,42,True,correct
4,38773,True,1,210441166,0.7827102843052697,0.07417057251873871,0.708539711786531,0.40000000000000013,True,correct,ECOM,42,True,correct
5,34301,True,1,206615080,0.9585527913049968,0.897404649926195,0.06114814137880187,0.40000000000000013,True,correct,ECOM,42,True,correct
6,38096,True,1,207391434,0.9721622634387785,0.05969267364606779,0.9124695897927108,0.40000000000000013,True,correct,ECOM,42,True,correct
7,38106,True,1,202026554,0.9624691168807188,0.2232620893624909,0.7392070275182279,0.40000000000000013,True,correct,ECOM,42,True,correct
8,38957,True,1,207535265,0.4921353737686074,0.022610444413091034,0.4695249293555164,0.40000000000000013,True,correct,ECOM,42,False,missing_match
9,37211,True,1,209310260,0.5720018206553654,0.10808433030744136,0.46391749034792407,0.40000000000000013,True,correct,ECOM,42,True,correct
10,38735,True,1,203329570,0.7867234724059476,0.4060119810191141,0.3807114913868335,0.40000000000000013,True,correct,ECOM,42,True,correct
11,34092,True,2,207679756,0.9582950822305895,0.8041607189393845,0.154134363291205,0.40000000000000013,True,correct,ECOM,42,True,correct
12,34476,True,1,206888012,0.0454147054829695,0.02700310298742958,0.018411602495539917,0.40000000000000013,False,missing_match,ECOM,42,False,missing_match
13,25136,True,1,203087638,0.695979653054943,0.09612198098784501,0.5998576720670981,0.40000000000000013,True,correct,ECOM,42,True,correct
14,31881,True,1,203514371,0.9169565776414043,0.2361539550878567,0.6808026225535475,0.40000000000000013,True,correct,ECOM,42,True,correct
15,33220,True,1,208653767,0.9353983600821817,0.10759300468317695,0.8278053553990048,0.40000000000000013,True,correct,ECOM,42,True,correct
16,30602,True,1,208111280,0.05774437873175722,0.02043224247698878,0.03731213625476844,0.40000000000000013,False,missing_match,ECOM,42,True,correct
17,33562,True,1,207542597,0.8699873903994868,0.03379194927932124,0.8361954411201655,0.40000000000000013,True,correct,ECOM,42,True,correct
18,37182,True,1,209705774,0.7107505263246072,0.04205702158289726,0.66869350474171,0.40000000000000013,True,correct,ECOM,42,True,correct
19,37039,True,1,208504461,0.671149973270817,0.02743015712636642,0.6437198161444506,0.40000000000000013,True,correct,ECOM,42,True,correct
20,17187,True,1,202041204,0.6542459655226437,0.08702882102171092,0.5672171445009327,0.40000000000000013,True,correct,ECOM,42,True,correct
21,18441,True,1,209002546,0.2767270618346377,0.0021699557120415727,0.2745571061225961,0.40000000000000013,False,missing_match,ECOM,42,True,correct
22,33493,True,1,206928744,0.932435070764836,0.06817539036014032,0.8642596804046957,0.40000000000000013,True,correct,ECOM,42,True,correct
23,32280,True,1,205985718,0.18365308190722213,0.18365308190722213,0.0,0.40000000000000013,False,missing_match,ECOM,42,False,missing_match
24,33758,True,1,207910212,0.9632232311167991,0.9473029724038157,0.015920258712983415,0.40000000000000013,True,correct,ECOM,42,True,correct
25,37964,True,1,209310243,0.9173854353048752,0.3591951630137201,0.558190272291155,0.40000000000000013,True,correct,ECOM,42,True,correct
26,36345,True,1,204407682,0.8206828131852691,0.6423060817476841,0.17837673143758503,0.40000000000000013,True,correct,ECOM,42,True,correct
27,31992,True,1,203952966,0.9829456152075554,0.902081503323785,0.0808641118837704,0.40000000000000013,True,correct,ECOM,42,True,correct
28,38483,True,1,204407682,0.9272928032464296,0.7634768086234082,0.16381599462302143,0.40000000000000013,True,false_link,ECOM,42,True,correct
29,35477,True,1,206359209,0.9321657394477457,0.06814148436468838,0.8640242550830574,0.40000000000000013,True,correct,ECOM,42,True,correct
30,34708,True,1,208186248,0.18938400919611625,0.042532285679792406,0.14685172351632386,0.40000000000000013,False,missing_match,ECOM,42,False,missing_match
31,34880,True,1,207929461,0.48831221964077354,0.15221988495043606,0.3360923346903375,0.40000000000000013,True,correct,ECOM,42,True,correct
32,16765,True,1,204569335,0.9103577717952712,0.1688105926144627,0.7415471791808085,0.40000000000000013,True,correct,ECOM,42,True,correct
33,29133,True,1,206887553,0.7509527070028669,0.013688815813498591,0.7372638911893683,0.40000000000000013,True,correct,ECOM,42,True,correct
34,25813,True,1,202973389,0.1629657576171892,0.01938737503793045,0.14357838257925876,0.40000000000000013,False,missing_match,ECOM,42,True,correct
35,34303,True,1,207900179,0.961483664548652,0.5298506037043207,0.4316330608443313,0.40000000000000013,True,correct,ECOM,42,True,correct
36,35485,True,1,206901613,0.8755228575569916,0.054394454864922934,0.8211284026920687,0.40000000000000013,True,correct,ECOM,42,True,correct
37,19672,True,1,203088013,0.8962287597404247,0.04053661931011486,0.8556921404303098,0.40000000000000013,True,correct,ECOM,42,True,correct
38,30058,True,1,209028436,0.6126558106339159,0.0183473273149504,0.5943084833189656,0.40000000000000013,True,correct,ECOM,42,True,correct
39,39090,True,1,208504394,0.7004867181587902,0.009407889956763572,0.6910788282020266,0.40000000000000013,True,correct,ECOM,42,True,correct
