dataset,paper_dataset,seed,routing_rule,training_gap_quantile,routing_cutoff,link_threshold,validation_f1,max_test_gap_reproduction_diff,n_test,n_routed,phi,declared,correct,false_links,n_true_records,FLR,MMR,ce_evaluations,all_ce_evaluations,ce_eval_reduction
DBLP,DBLP-Scholar,42,Q25-train,0.25,0.04889278314767104,0.5500000000000002,0.9148936170212766,1.1102230246251565e-16,1308,315,0.2408256880733945,1186,1169,17,1210,0.01433389544688024,0.03388429752066113,15750,65400,0.7591743119266054
DBLP,DBLP-Scholar,42,Q50-train,0.5,0.3259007707656878,0.5500000000000002,0.9148936170212766,1.1102230246251565e-16,1308,615,0.4701834862385321,1196,1181,15,1210,0.012541806020066937,0.023966942148760384,30750,65400,0.5298165137614679
DBLP,DBLP-Scholar,43,Q25-train,0.25,0.05736054586895814,0.5000000000000001,0.9056603773584906,1.1102230246251565e-16,1308,330,0.25229357798165136,1186,1162,24,1196,0.0202360876897133,0.02842809364548493,16500,65400,0.7477064220183487
DBLP,DBLP-Scholar,43,Q50-train,0.5,0.3814981888888611,0.5000000000000001,0.9056603773584906,1.1102230246251565e-16,1308,666,0.5091743119266054,1204,1175,29,1196,0.02408637873754149,0.01755852842809369,33300,65400,0.49082568807339455
DBLP,DBLP-Scholar,44,Q25-train,0.25,0.05586815446382454,0.6000000000000002,0.915929203539823,1.1102230246251565e-16,1308,322,0.24617737003058104,1189,1170,19,1215,0.015979814970563444,0.03703703703703709,16100,65400,0.753822629969419
DBLP,DBLP-Scholar,44,Q50-train,0.5,0.3209395148367166,0.6000000000000002,0.915929203539823,1.1102230246251565e-16,1308,621,0.47477064220183485,1198,1179,19,1215,0.015859766277128595,0.029629629629629672,31050,65400,0.5252293577981652
ECOM,Abt-Buy,42,Q25-train,0.25,0.23492635034620138,0.40000000000000013,0.8599033816425121,1.1102230246251565e-16,541,168,0.31053604436229204,480,456,24,541,0.050000000000000044,0.15711645101663585,8400,27050,0.689463955637708
ECOM,Abt-Buy,42,Q50-train,0.5,0.551521538413969,0.40000000000000013,0.8599033816425121,1.1102230246251565e-16,541,303,0.5600739371534196,498,477,21,541,0.04216867469879515,0.11829944547134941,15150,27050,0.4399260628465804
ECOM,Abt-Buy,43,Q25-train,0.25,0.2877188902884998,0.30000000000000004,0.8634361233480177,1.1102230246251565e-16,541,189,0.34935304990757854,488,461,27,541,0.055327868852458995,0.14787430683918668,9450,27050,0.6506469500924215
ECOM,Abt-Buy,43,Q50-train,0.5,0.5968708917670416,0.30000000000000004,0.8634361233480177,1.1102230246251565e-16,541,329,0.6081330868761553,481,459,22,541,0.04573804573804574,0.1515711645101664,16450,27050,0.3918669131238447
ECOM,Abt-Buy,44,Q25-train,0.25,0.2653326123307141,0.30000000000000004,0.7981651376146789,1.1102230246251565e-16,541,183,0.33826247689463956,486,465,21,541,0.043209876543209846,0.14048059149722736,9150,27050,0.6617375231053604
ECOM,Abt-Buy,44,Q50-train,0.5,0.5814812389150277,0.30000000000000004,0.7981651376146789,1.1102230246251565e-16,541,325,0.600739371534196,470,452,18,541,0.03829787234042559,0.16451016635859517,16250,27050,0.399260628465804
