dataset,seed,quartile,model,n_records,declared,correct,false_links,missing_matches,n_true_records,FLR,historical_psi,MMR_final
DBLP,42,Q1,Logistic regression,327,248,239,9,8,251,0.03629032258064513,0.03187250996015936,0.047808764940239
DBLP,42,Q1,Cross-encoder,327,251,244,7,6,251,0.027888446215139417,0.02390438247011952,0.027888446215139417
DBLP,42,Q2,Logistic regression,327,295,287,8,18,308,0.027118644067796627,0.05844155844155844,0.06818181818181823
DBLP,42,Q2,Cross-encoder,327,309,301,8,4,308,0.02588996763754048,0.012987012987012988,0.022727272727272707
DBLP,42,Q3,Logistic regression,327,312,311,1,13,324,0.0032051282051281937,0.040123456790123455,0.04012345679012341
DBLP,42,Q3,Cross-encoder,327,321,319,2,5,324,0.006230529595015577,0.015432098765432098,0.015432098765432056
DBLP,42,Q4,Logistic regression,327,327,327,0,0,327,0.0,0.0,0.0
DBLP,42,Q4,Cross-encoder,327,327,327,0,0,327,0.0,0.0,0.0
DBLP,43,Q1,Logistic regression,327,250,234,16,7,243,0.06399999999999995,0.02880658436213992,0.03703703703703709
DBLP,43,Q1,Cross-encoder,327,245,236,9,4,243,0.03673469387755102,0.01646090534979424,0.028806584362139898
DBLP,43,Q2,Logistic regression,327,298,285,13,15,303,0.043624161073825496,0.04950495049504951,0.05940594059405946
DBLP,43,Q2,Cross-encoder,327,314,297,17,2,303,0.05414012738853502,0.006600660066006601,0.01980198019801982
DBLP,43,Q3,Logistic regression,327,316,314,2,9,323,0.006329113924050667,0.02786377708978328,0.02786377708978327
DBLP,43,Q3,Cross-encoder,327,324,321,3,2,323,0.0092592592592593,0.006191950464396285,0.006191950464396245
DBLP,43,Q4,Logistic regression,327,327,327,0,0,327,0.0,0.0,0.0
DBLP,43,Q4,Cross-encoder,327,327,327,0,0,327,0.0,0.0,0.0
DBLP,44,Q1,Logistic regression,327,246,243,3,10,256,0.012195121951219523,0.0390625,0.05078125
DBLP,44,Q1,Cross-encoder,327,257,248,9,4,256,0.035019455252918275,0.015625,0.03125
DBLP,44,Q2,Logistic regression,327,296,289,7,13,308,0.023648648648648685,0.04220779220779221,0.06168831168831168
DBLP,44,Q2,Cross-encoder,327,308,301,7,5,308,0.022727272727272707,0.016233766233766232,0.022727272727272707
DBLP,44,Q3,Logistic regression,327,309,306,3,18,324,0.009708737864077666,0.05555555555555555,0.05555555555555558
DBLP,44,Q3,Cross-encoder,327,324,321,3,3,324,0.0092592592592593,0.009259259259259259,0.0092592592592593
DBLP,44,Q4,Logistic regression,327,327,327,0,0,327,0.0,0.0,0.0
DBLP,44,Q4,Cross-encoder,327,327,327,0,0,327,0.0,0.0,0.0
ECOM,42,Q1,Logistic regression,136,53,43,10,83,136,0.18867924528301883,0.6102941176470589,0.6838235294117647
ECOM,42,Q1,Cross-encoder,136,105,91,14,31,136,0.1333333333333333,0.22794117647058823,0.3308823529411765
ECOM,42,Q2,Logistic regression,135,94,85,9,41,135,0.0957446808510638,0.3037037037037037,0.37037037037037035
ECOM,42,Q2,Cross-encoder,135,125,121,4,10,135,0.03200000000000003,0.07407407407407407,0.10370370370370374
ECOM,42,Q3,Logistic regression,135,135,133,2,0,135,0.014814814814814836,0.0,0.014814814814814836
ECOM,42,Q3,Cross-encoder,135,128,125,3,7,135,0.0234375,0.05185185185185185,0.07407407407407407
ECOM,42,Q4,Logistic regression,135,135,135,0,0,135,0.0,0.0,0.0
ECOM,42,Q4,Cross-encoder,135,135,135,0,0,135,0.0,0.0,0.0
ECOM,43,Q1,Logistic regression,136,47,36,11,89,136,0.23404255319148937,0.6544117647058824,0.7352941176470589
ECOM,43,Q1,Cross-encoder,136,88,77,11,48,136,0.125,0.35294117647058826,0.4338235294117647
ECOM,43,Q2,Logistic regression,135,118,106,12,17,135,0.10169491525423724,0.1259259259259259,0.2148148148148148
ECOM,43,Q2,Cross-encoder,135,126,117,9,9,135,0.0714285714285714,0.06666666666666667,0.1333333333333333
ECOM,43,Q3,Logistic regression,135,135,132,3,0,135,0.022222222222222254,0.0,0.022222222222222254
ECOM,43,Q3,Cross-encoder,135,129,128,1,6,135,0.007751937984496138,0.044444444444444446,0.051851851851851816
ECOM,43,Q4,Logistic regression,135,135,135,0,0,135,0.0,0.0,0.0
ECOM,43,Q4,Cross-encoder,135,134,134,0,1,135,0.0,0.007407407407407408,0.007407407407407418
ECOM,44,Q1,Logistic regression,136,56,41,15,80,136,0.2678571428571429,0.5882352941176471,0.6985294117647058
ECOM,44,Q1,Cross-encoder,136,86,77,9,50,136,0.10465116279069764,0.36764705882352944,0.4338235294117647
ECOM,44,Q2,Logistic regression,135,122,109,13,13,135,0.10655737704918034,0.0962962962962963,0.19259259259259254
ECOM,44,Q2,Cross-encoder,135,120,114,6,15,135,0.050000000000000044,0.1111111111111111,0.15555555555555556
ECOM,44,Q3,Logistic regression,135,135,133,2,0,135,0.014814814814814836,0.0,0.014814814814814836
ECOM,44,Q3,Cross-encoder,135,125,123,2,10,135,0.016000000000000014,0.07407407407407407,0.0888888888888889
ECOM,44,Q4,Logistic regression,135,135,135,0,0,135,0.0,0.0,0.0
ECOM,44,Q4,Cross-encoder,135,134,134,0,1,135,0.0,0.007407407407407408,0.007407407407407418
