dataset,paper_dataset,quartile,model,n_splits,FLR_mean,FLR_MCSE,MMR_mean,MMR_MCSE
DBLP,DBLP-Scholar,Q1,Cross-encoder,3,0.033214198448536236,0.0027085198001556995,0.02931501019242644,0.0010031423263599482
DBLP,DBLP-Scholar,Q1,Logistic regression,3,0.0374951481772882,0.014966908509007438,0.045209017325758695,0.004175119289196675
DBLP,DBLP-Scholar,Q2,Cross-encoder,3,0.03425245591778273,0.009985660838927808,0.021752175217521746,0.0009750975097509625
DBLP,DBLP-Scholar,Q2,Logistic regression,3,0.03146381793009027,0.006162133723591426,0.06309202348806313,0.002628802767509877
DBLP,DBLP-Scholar,Q3,Cross-encoder,3,0.008249682704511393,0.0010095765547479079,0.0102944361630292,0.002717154060952852
DBLP,DBLP-Scholar,Q3,Logistic regression,3,0.006414326664418842,0.0018779137855020579,0.041180929811820755,0.008011394708852013
DBLP,DBLP-Scholar,Q4,Cross-encoder,3,0.0,0.0,0.0,0.0
DBLP,DBLP-Scholar,Q4,Logistic regression,3,0.0,0.0,0.0,0.0
ECOM,Abt-Buy,Q1,Cross-encoder,3,0.12099483204134365,0.00851856315235527,0.3995098039215687,0.03431372549019607
ECOM,Abt-Buy,Q1,Logistic regression,3,0.2301929804438837,0.022937591226477642,0.7058823529411765,0.015306367643133348
ECOM,Abt-Buy,Q2,Cross-encoder,3,0.05114285714285716,0.011396383242959485,0.1308641975308642,0.015019166741477076
ECOM,Abt-Buy,Q2,Logistic regression,3,0.10133232438482713,0.0031266171214336226,0.25925925925925924,0.05592469952052409
ECOM,Abt-Buy,Q3,Cross-encoder,3,0.015729812661498716,0.0045300465352271025,0.07160493827160493,0.010762713440841185
ECOM,Abt-Buy,Q3,Logistic regression,3,0.017283950617283977,0.0024691358024691397,0.017283950617283977,0.0024691358024691397
ECOM,Abt-Buy,Q4,Cross-encoder,3,0.0,0.0,0.0049382716049382784,0.0024691358024691397
ECOM,Abt-Buy,Q4,Logistic regression,3,0.0,0.0,0.0,0.0
